id,num
1,1451
2,2563
3,2202
4,474
5,1017
6,1414
7,1387
8,699
9,2520
10,618
11,2151
12,587
13,153
14,2318
15,431
16,1771
17,3933
18,2601
19,489
20,2241
21,2343
22,1285
24,2781
25,704
26,337
27,3158
28,1578
29,2484
30,1364
31,1700
32,421
33,2579
34,1246
35,3286
36,906
37,1522
38,663
39,1033
40,1641
41,2203
42,46
43,3461
44,3329
45,2843
46,2456
47,3898
48,39
49,1939
50,2420
51,103
52,1242
53,1383
54,2606
55,2174
56,3806
57,728
58,1275
59,1271
60,2350
61,591
62,1834
63,3720
64,2008
65,1030
66,18
67,94
68,1992
69,3515
70,1673
71,1232
72,170
73,1411
74,2948
75,2492
76,2822
77,2249
78,2896
79,2784
80,1722
81,726
82,2260
83,778
84,1666
85,128
86,315
87,1057
88,2826
89,1982
90,3965
91,3878
92,2122
93,215
94,2976
96,3054
97,373
98,1607
99,2672
100,2434
101,3580
102,2025
103,402
104,718
105,3451
106,1459
107,3486
108,1262
109,1447
110,2323
111,2949
112,1657
113,837
114,388
115,1330
116,2618
117,733
118,159
119,593
120,1366
121,2006
122,2210
123,1256
124,322
125,422
126,2903
127,1014
128,1178
130,1017
131,802
132,382
133,2292
134,32
135,705
136,3777
137,1270
138,2775
139,2718
140,1620
141,1285
142,3515
143,2763
144,1198
145,840
146,2404
147,3526
148,691
149,2797
150,2467
151,1972
152,1167
153,2551
154,271
155,1830
156,2553
157,2130
158,2189
159,3740
160,1249
161,359
162,2512
163,1603
164,1323
165,679
166,1422
167,2014
168,3399
169,2936
170,1274
171,1117
172,288
173,2145
174,3506
175,198
176,2850
177,757
178,2758
179,1171
180,2480
181,1642
182,51
183,2430
184,749
185,592
186,1389
187,1368
188,1566
189,2523
190,2069
192,2031
193,2032
194,1327
195,1137
196,1708
197,750
198,2367
199,40
200,2827
201,2022
202,2614
203,235
204,1184
205,2174
206,914
207,2425
208,3158
209,1381
210,2505
211,3806
213,1874
214,3269
215,2933
216,850
217,3440
218,3347
219,3843
220,690
221,2298
222,1564
223,2354
224,1223
225,1687
226,3264
227,3996
228,2245
229,1091
230,396
231,3301
232,208
233,1956
234,2656
235,2382
236,2082
237,2022
238,1203
239,2700
240,4212
241,942
242,97
243,359
244,1273
245,1136
246,1075
247,113
248,1373
249,1374
250,2430
251,1129
252,1813
253,941
254,1370
255,1475
256,271
257,1306
258,727
259,2160
260,1054
261,3139
262,2127
263,2857
264,2110
265,3120
266,2046
267,1422
268,1004
269,1787
270,2367
271,1286
272,2576
274,2002
275,792
276,1379
277,2784
278,984
279,2486
280,3159
281,631
282,3386
283,611
284,1633
285,2560
286,2273
287,2413
288,2942
289,1301
290,2818
291,1051
292,526
293,2594
294,2324
295,49
296,331
297,2308
298,3262
299,1316
300,3463
301,2085
302,1570
303,2732
304,1903
305,3102
306,3481
307,572
308,1705
309,1363
310,1332
311,1366
312,204
313,1422
314,1452
315,1312
316,1376
317,2806
318,2194
319,82
320,3095
321,698
322,2336
323,1273
324,2739
325,2330
326,2437
327,2266
328,1868
329,2900
330,2237
331,316
332,1372
333,141
334,961
335,3636
336,2534
337,681
338,1314
339,2603
340,2834
341,2204
342,1616
343,992
344,1202
345,1042
346,2251
347,2511
348,828
349,1197
350,2057
351,356
352,1438
353,676
354,589
355,3794
356,218
357,1988
359,1028
360,2313
361,2547
362,2564
363,3528
364,3415
365,1121
366,2140
367,356
368,1708
369,2342
370,2213
371,1665
372,652
373,1664
374,413
375,763
376,2856
377,1479
378,1627
379,1965
380,3634
381,2607
382,940
383,3779
384,2862
385,1262
386,225
387,1547
388,1123
389,3471
390,159
391,466
392,2790
