id,dis_a_b
95,2.543698757714945
463,2.8752228435383316
534,2.035408285824614
566,3.576719341799313
569,3.506284900004969
716,2.3828433435701157
2244,3.9229857570472584
2252,3.169446060433944
2301,2.699904763134805
2302,3.7172619291630613
2455,2.562737442656532
2538,3.427405655886183
2609,1.183672610987904
2625,3.8508469003594996
2630,3.639968495742449
2673,3.9018727221686893
2743,1.972433142085877
2808,3.5761386158819235
2843,3.1000144467402615
2891,2.6715538100512264
2926,3.937700552351929
3028,3.653589446009617
3425,3.194625539871285
3880,3.9882444884927697
5047,3.011652053274859
5064,2.4839560221555828
5074,1.7799380129664997
5145,3.670479964526895
5214,3.220224751473378
5217,3.9607151639564075
5218,3.5033697435471933
5219,3.3235129907974095
5222,2.3953068049841253
5252,3.053294325806216
5261,3.638621553555733
5265,3.858608479749447
5267,3.411146283876039
5276,1.3846680793589274
5297,3.979929069719256
5315,3.7132938922193457
5316,2.630231491713786
5323,2.787652621829518
5367,1.8443257250275649
5372,3.5467548843977172
5402,2.018874983746275
5430,3.35085548778085
5437,3.935535344778623
5500,2.8462207925598655
5518,3.595180586562805
5548,2.237256069384481
5552,3.157159826488848
5555,1.8848036210708745
5606,3.1301562213419745
5613,2.422244688301224
5614,3.5750868437004937
5646,3.9716394297572433
5669,2.995042932914104
5679,3.0991623077858503
5682,2.568830122838115
5700,3.9850739077213406
5705,3.706331395059427
5766,3.530897089975895
5810,3.741487974055303
5832,1.19606860171062
5926,3.789212573872369
5940,3.7782575507756904
5944,3.131024274897932
5970,3.17714105604325
5979,2.8336294976571117
5988,2.615036844865935
6213,3.5190123344485085
6236,3.328995675874587
6265,3.660905803212157
6272,3.9519642571771776
6489,3.3192140334725435
6668,3.179423878629096
6700,2.911529666687807
7039,2.6339443065483272
7048,2.1844760515974024
7284,2.460540009835106
7447,2.9067518951570133
7579,3.43968827075948
7983,3.6255946670860926
8007,2.2466432048723686
8120,3.62295110924735
8122,2.1959266699954494
8131,2.4214439597088364
8154,2.694470801474605
8183,2.833581638141311
8189,3.323948129860733
8201,2.8792430967189353
8212,3.7768937130931377
8249,1.8340532216923506
8262,2.699302224649855
8359,2.000255928624629
8375,3.798096134906068
8389,3.1724105976374872
8390,2.980205464393915
8394,2.040391670734921
8410,1.9393507392931288
8412,3.2713467226812494
8420,3.9773695591426432
8426,1.3641777340222019
8428,3.7535962822344136
8435,3.95025811814861
8449,3.3330594624157737
8463,3.702650472296836
8466,1.255138088018974
8467,3.296180374312291
8502,1.7264807267967235
8516,1.6649968768737895
8530,2.7455386721006705
8590,3.769521478915508
8752,3.2087451082942566
9608,3.566815257339824
9715,3.6303183386573483
10139,3.563162366493345
10210,3.8232882666629124
10222,3.7056994387034483
10534,1.5429599217083498
10574,3.703269805185949
10596,3.3022348629375102
10670,1.9367758698412538
10771,1.1017694359530923
10786,2.201138398647024
10900,0.9121950339709084
10929,2.928669283139278
10947,1.2341564122913218
11306,3.149455725994113
11357,3.531507883326913
11417,3.724500299367164
11431,2.961651871845633
11514,3.7941189069403705
11538,3.02456705166176
11544,3.2817045875580555
11549,3.5775173808089846
11580,1.4830909614720698
11582,3.0580981426358287
11600,3.1945205352289454
11602,2.5636711840636655
11854,1.0342738128758393
11857,3.9601167306027376
11865,3.560320104989277
11900,3.652921767571613
11988,3.1504972194877183
11999,3.2564849915203355
12020,3.5425304402353723
12082,3.1652852162167364
12118,3.22023518551128
12129,3.810212499322542
12218,3.220400957955731
12315,2.1695655648086025
12334,3.975993386565212
12361,3.511778217656072
12447,1.3179608871283446
12452,2.502114755561926
12479,3.6411337039448974
12539,3.483033198234374
12641,0.9020834662047384
12647,3.572634112248811
12680,1.7823087975996563
12736,1.9386519285318253
12743,2.29922145083864
12747,2.3800382875065926
12749,3.9284058777054063
12755,1.843996651297671
12762,2.7063329599289627
12763,1.6713600808917723
12764,2.7895446528060304
12768,3.6272696687727652
12783,3.4274812807641544
12824,0.9083619763078395
12833,3.0020093687399303
12844,3.603993235288521
12849,2.405656808441319
12868,2.7959399224590427
12873,1.2402485557343346
12875,2.2291822760821813
12887,2.316955662070247
12895,2.338991579720391
12914,2.7761044973125193
12917,2.2094004707170405
12942,3.6013711958080488
12947,0.20621546983870007
12949,3.4612084955979006
12953,3.995279527143024
13194,1.1588299486967106
13204,3.8162464136902807
13208,2.4328483265505714
13219,2.138048205724521
13224,1.3382322406807823
13229,3.950209200788986
13232,1.7644530994044525
13233,2.264705466500933
13234,2.2157783733945573
13235,3.984140893592749
13239,2.386712487920813
13240,1.3351102800889558
13248,3.5117421217960345
13250,3.371372257700039
13267,3.6683577374623146
13270,2.986978995573572
13274,2.775724979172144
13279,3.5806387097829786
13295,1.5737931884470142
13311,2.4432884090924567
13321,3.40640964359857
13324,1.2274121149808832
13330,3.735311040596538
13358,2.8306500684461335
13362,1.3941928309955764
13373,3.6682684361964077
13382,2.7809967080166773
13383,3.356943605424899
13394,3.7818869800688195
13408,3.132852893131451
13410,3.9655284200219945
13411,3.3996015428281954
13412,3.858025459999136
13414,2.523996697698218
13436,3.779830029247836
13437,2.0396710568129772
13438,2.624891893011549
13443,3.0002013065803066
13450,2.771252471356379
13453,3.8445300987240234
13470,2.9686773098473096
13471,2.0765289884803573
13475,2.6758393243987726
13479,3.8400495113998505
13480,3.310200962176487
13484,3.0370428989400695
13489,2.9431985474990534
13492,3.8314130252438523
13493,2.0154490938735425
13510,1.7408409749314842
13511,2.9149978559164533
13530,3.0653668785314543
13531,2.706077657790839
13534,0.2615840973759074
13536,3.020851515715439
13538,2.7057514390640276
13564,3.0354285249370876
13570,2.398922160053962
13578,3.4420107292103492
13597,3.6175842229314705
13600,3.584322871896992
13615,3.077149460133347
13621,1.1573467630741212
13630,3.2753840843474618
13638,3.6623744975080816
13658,3.9903853109677665
13662,3.306307357159229
13673,3.224656528996623
13691,1.9281574313325767
13695,2.7145060176759617
13720,3.289062827006291
13727,3.770430592118707
13748,3.778430395018545
13757,2.6672116995090716
13759,3.3065671397989513
13761,1.8080469075774879
13762,3.9966763892011983
13777,2.128527380608754
13786,3.658066486548015
13810,3.8281862702845046
13818,2.685850772101456
13823,3.8353680214541996
13830,1.5783604784717826
13831,2.5696915087200973
13833,0.7420643705238578
13843,2.392747326818238
13845,1.206378750641587
13850,0.3563551178253414
13858,2.8465779332400434
13862,3.6181115308957787
13863,2.1662335285003995
13885,0.9925516863114624
13886,3.855150513275899
13889,3.773881175925392
13891,3.4548590622481683
13896,3.861257580115877
13897,0.7630493365430685
13898,3.474621816829197
13900,3.5059112438867426
13903,0.8696962975661524
13909,2.8142024465208655
13911,0.23217831509415374
13914,0.6509009755717343
13925,2.764745402384168
13926,2.2086586427060872
13927,3.8542046196338315
13932,3.8413620292797317
13934,1.024939515289253
13941,1.8286189160122128
13942,2.9950107662578054
13946,3.6752028909984276
13952,1.9165678829620911
13954,2.652505509891901
13955,3.5650657441352087
13960,0.923015633669896
13976,0.40156833789585034
13988,1.983818545129495
14002,0.32622668499022345
14013,1.0301280017554904
14015,2.4516606616742314
14017,2.311342149055651
14024,3.928205763448252
14079,3.878691455889295
14083,3.2976468534385823
14086,3.679404306406052
14099,1.7769299282743887
14108,3.503320282246957
14155,3.3321655376055097
14193,3.35351203367444
14197,3.4327080403083965
14207,3.577814546620682
14217,3.292009606606779
14218,2.41826400750729
14226,1.1236893387420817
14248,1.0660370068622236
14292,2.637983785013047
14306,3.3514270826012424
14315,1.2274807534126697
14323,3.2399094323755517
14325,3.9209036165144338
14333,2.759424985390121
14343,2.9455149261202545
14345,3.7479970984503073
14368,1.4915098155884627
14369,2.634395403123683
14379,3.053404783189462
14397,1.6167437675784029
14427,3.3973700666836413
