nid,distance
49348700,2762.2129999999997
49348702,2940.5199999999995
49348703,3159.1479999999997
4018995323,4435.177000000001
49152240,4193.457
4341498154,3162.053
4341498165,3640.227
49480055,1894.941
49480060,1957.089
49480065,1999.926
49480067,2202.243
49480069,2402.898
49480180,1053.032
49480196,2214.3829999999994
49611350,3726.6109999999994
49611356,1894.9019999999998
49611358,1713.024
49611360,1913.4209999999998
49611362,2114.1119999999996
49611367,1648.9979999999998
49611377,1491.7430000000002
49611378,985.6460000000001
49611414,2600.3659999999995
49611416,2296.6759999999995
49611422,29.392
49611425,0.0
49414966,3345.344999999999
49414968,3266.425999999999
49415074,3184.042999999999
49415081,3003.2199999999993
49415095,3346.5449999999996
49415102,3641.715999999999
49415107,3941.5589999999993
49415109,4142.060999999999
49415112,4285.970999999999
49742796,2126.667
49742803,2236.9599999999996
49743067,2047.6629999999998
49743070,2245.8889999999997
49743078,2504.127
49743084,1570.7799999999997
49218881,4254.871
49218888,4139.994
49481105,1647.065
49743549,3101.6949999999993
48957143,3425.464000000001
49284827,3530.4229999999993
49284829,3584.8189999999995
49284831,3646.5269999999996
49350489,3035.103
49350491,2593.3129999999996
49350493,2515.1759999999995
49219431,3656.681000000001
49350510,1857.4979999999998
49285236,3668.6329999999994
277153977,4730.294
3641444657,3951.5289999999986
3641444658,4036.8839999999987
49088818,3326.7729999999992
1245776257,1070.784
49547668,3669.6850000000004
49547670,3727.8880000000004
275712415,4093.461999999999
1245776296,1063.227
49547694,4867.637
49088976,1391.138
49088979,1556.1029999999998
49154538,2750.2149999999997
49154539,2575.306
49416703,2055.328
49416705,2123.072
49220308,3540.7199999999993
49089246,4722.451000000001
49220347,3319.6979999999994
49089330,3741.280999999999
49089331,3541.410999999999
49089336,1943.8630000000003
49089338,1752.7600000000002
49089339,1555.643
49089340,1674.789
275712850,2993.3869999999993
49679288,3843.090999999999
49089498,4338.297
49089499,4392.317999999999
49089501,4642.32
49089512,4497.288
49089515,4599.612999999999
49351686,3847.5689999999995
49351692,3828.975000000001
49351693,3729.611000000001
49351709,3795.7090000000007
49351716,3868.1540000000005
49679693,4855.016
48958918,3465.987
48958919,3481.2000000000003
48958922,2489.266
48958923,2498.6330000000003
48958926,2191.982
48958927,2183.076
48958973,2408.897
48958974,2403.593
48958976,1800.287
49024546,4644.940999999998
275713609,2838.7889999999993
49548909,1767.1660000000002
49483443,2588.538
277155581,4617.410999999999
49155900,4053.673
49155907,2906.9089999999997
49549125,3334.903
49155925,3097.9319999999993
275713878,2877.707999999999
49155982,2690.526
49614756,2872.7060000000006
49745868,2514.429
49745874,3753.744999999999
49745876,3797.398999999999
49745887,1935.957
49614820,2999.6310000000003
49090690,4751.090999999999
49090692,4698.022999999999
49090699,4292.504999999999
49418418,4873.132999999999
49221952,3031.245
49221954,3102.644
49549641,4356.497000000001
49353041,2144.294
49353049,3170.446
49746277,2952.4149999999995
49549676,4579.718000000002
49418768,1497.284
49091152,3756.431000000001
49091158,3859.9390000000008
48894570,2947.325999999999
48894571,3310.0169999999994
49222380,4540.708000000001
49222387,4618.787000000001
287970082,3064.7260000000006
49353625,2582.1929999999993
49353628,2830.149999999999
49353634,2956.2469999999994
49353639,3353.1209999999996
49484714,2717.841
49353643,3906.6069999999995
49353654,4927.186999999999
49681345,3380.938000000001
49419230,2630.06
49419232,2686.169
49419233,2717.7439999999997
49157227,4924.005000000001
275715178,2840.354999999999
49157230,4964.629000000001
49353836,2413.3589999999995
49615981,4642.788
49615988,4451.799999999999
49353850,2061.4329999999995
49091718,3316.9079999999994
49157270,4275.428
49157277,4361.613
49157283,4467.934
49484963,4596.609000000001
49353974,4726.3009999999995
49091945,4885.083
277157425,3969.259
277157427,4446.2440000000015
277157436,4220.996000000001
49485376,2430.525
49485387,2113.2540000000004
49485400,1648.1169999999997
49354557,3276.795
49551675,4859.3910000000005
49551676,4891.193
49289540,3859.696999999999
49289539,3672.7359999999994
4589689227,3221.207
49420749,3112.901
49224249,1884.7
49224250,1970.772
49224252,2116.897
49289844,3922.324
49289848,3920.029
49289855,4148.937
49093364,4024.3469999999998
49093367,3960.3459999999995
275716916,3600.480999999999
5380381513,2778.9130000000005
5380381514,2762.8360000000002
5380381515,2601.7670000000003
5380381516,2587.856
5380381520,2662.09
4341505019,3114.461
3566279757,3323.5560000000005
49749181,4838.761
49618288,2195.1670000000004
49552806,3991.2050000000004
4848230120,3259.7390000000005
4848230421,3302.4520000000007
4848230422,3384.1510000000007
4848230423,3345.790000000001
4848230425,3303.9980000000005
49094966,2655.2390000000005
49094967,2862.272
49094968,3014.04
49094969,3115.025
49094970,3196.417
49094971,3264.513
49357111,4047.2749999999996
49094973,3668.98
49357114,4096.205
287973708,4153.286999999999
49422882,2725.1390000000006
49422884,2804.2300000000005
49422892,3015.676
275718753,3455.6479999999992
1164518006,3720.1129999999994
49750671,3747.051999999999
49357591,4512.236
49423176,4260.335000000001
49423190,4396.172000000001
49357675,4244.486000000001
49357697,4322.355
49357703,4115.593
275719065,4314.457
287974321,4783.692999999999
49161174,2816.349
49357863,2907.674
49226922,4538.553
49226929,4648.749
49226934,4315.623999999999
49226945,4560.830999999999
49358039,4450.7040000000015
49358044,4587.1010000000015
49489221,4430.786000000001
49489222,4207.384000000001
49489229,4517.480000000001
49096112,2566.3429999999994
49423814,3291.6419999999994
49423816,3325.5579999999995
49423824,3603.7439999999992
49423833,1887.1070000000002
49423835,1791.225
49423837,1590.784
49423840,1348.839
49423842,1294.7949999999998
49423844,1392.909
49423847,1791.457
49423852,2078.315
49423856,2394.225
49227366,3624.047
49161834,3628.832000000001
49161838,3564.569000000001
49292944,3634.0679999999993
4341311257,2593.937999999999
4341311272,1882.4650000000001
4341311273,1827.6570000000002
49555283,2003.7099999999996
49555289,2076.6609999999996
4343408567,4234.852
49359095,4617.999000000001
49359096,4539.397000000001
49359101,4468.217000000001
49359158,1499.5420000000001
49752436,3310.791999999999
49097118,3389.0969999999993
49162850,3382.723000000001
49162865,2445.988
49162864,2274.082
49162877,2748.919
49162879,2848.8260000000005
49162885,2973.5040000000004
49359740,3660.6179999999995
49359757,3830.6459999999993
3694144402,2252.4959999999996
49097809,2581.3569999999995
49097810,2488.0119999999997
49097811,2578.595
49097812,2103.955
