nid,distance
49217567,2665.942
49217573,2440.526
49217577,2360.469
49217580,2274.56
49217600,4566.297999999999
49217602,4671.239999999999
49217605,4771.134999999999
49217609,4871.025999999999
49479756,2375.568
49479760,2473.599
49414284,4337.017000000001
49414287,4250.814
49414290,4420.871
48890105,3244.8059999999996
48890106,3250.5099999999998
48890113,2471.9020000000005
48890114,2457.1130000000003
48890115,2474.481
48890121,3162.8150000000005
48890122,3192.8390000000004
49086759,3916.8359999999993
49086761,2866.5629999999996
49086763,2743.9869999999996
49086764,2685.8129999999996
49086766,2630.3369999999995
49086767,2449.6009999999997
49086768,2491.658
49086769,2597.139
49086770,2704.0190000000002
49086774,3643.053999999999
49086775,3732.537999999999
49086777,3780.1639999999998
49152398,3156.8820000000005
49152413,3519.3690000000006
49480392,3213.142
49480394,2929.714
49480400,2785.3
49480405,2423.745
49480411,2628.364
49480424,2820.1749999999997
49480427,2850.922
49480477,3285.8300000000004
49677091,4997.484
49152813,3458.416
49152817,3561.107
49152819,3661.741
49152823,3760.199
49152827,3858.189
49152893,4286.935000000001
49152895,4378.308000000001
49152899,4478.194000000001
49152902,4577.331000000001
49152909,4870.676
49152953,3171.9829999999997
49152955,3272.625
49152957,3373.257
49152959,3473.889
49152967,3912.777
49152968,3989.842
49152970,4075.417
49152972,4159.675
49152974,4322.517000000002
49480733,3425.823
49480741,4953.455999999999
49087843,3935.9069999999992
49087852,3412.2919999999995
49087853,3358.1399999999994
49087857,3151.3349999999996
49087861,2995.6119999999996
49087865,3210.845
49677846,4360.8279999999995
49153606,3512.7090000000003
49284704,4703.346
49284705,4776.538
49022740,4383.253
49219461,3803.484999999999
49219462,3734.4199999999996
49219469,3451.805999999999
49219471,3558.6659999999993
49219472,3591.356999999999
49219474,3716.8979999999992
49219476,3744.6259999999993
49219481,2711.4629999999997
49219483,2639.2819999999997
49219484,2534.5269999999996
49219487,2579.256
49219489,2684.551
49219495,2699.6069999999995
49219498,2908.8569999999995
49350718,4440.493
49350721,4534.563999999999
49350723,4330.589999999999
49350726,4541.291
2480539911,3947.953
2480539920,3960.0009999999997
49678625,3844.2860000000005
49088810,4060.723
49088811,3997.2799999999997
1355680099,1870.621
401869324,4091.927000000001
401869332,4936.902
401869333,4969.721999999999
49285707,4178.233
49285711,3943.818
49285714,3858.224
49285715,3785.286
49023628,4776.8330000000005
422447921,3493.185
49120825,1632.068
49351544,4470.286
49351546,4594.906000000001
49351556,4875.826000000001
49120836,4980.503000000001
49120837,4867.073
49286085,4242.8550000000005
49286088,4134.500000000001
49286090,4079.174000000001
49024034,4663.775
1199443130,4948.34
1199443131,3443.823999999999
1199443137,3524.018
1199443139,4865.688999999999
1199443141,3461.692
49220842,2883.3419999999996
49220849,3008.3189999999995
1718881529,2125.7850000000003
49220883,2371.2509999999997
49220885,2458.4519999999998
49220890,2756.5939999999996
1718881576,3667.667
1283132773,4918.108
420220410,4742.4529999999995
48958990,4852.438
49483309,4977.243
316542598,2850.3610000000003
48959269,4293.784000000001
49352772,4206.985000000001
49352774,4303.387999999999
49352777,4099.419999999999
49352782,4311.051999999999
49090688,4961.403
1175064797,4702.192
1175064799,4415.8060000000005
1175064818,4332.986
1175064851,4326.979
49418520,3935.6739999999995
49418543,4246.914999999999
49418545,3886.0539999999996
49418546,3777.3230000000003
49418549,3732.1380000000004
49418563,4154.852000000001
49353188,2427.857
49353189,2515.8749999999995
49353199,3021.634
49353201,3105.15
49353202,3183.6130000000003
49353225,3794.958
49353231,3902.5570000000002
49353235,4345.263
49091121,4550.373
49091122,4629.085
49091123,4166.026
49091129,4782.092999999999
49091131,4872.183999999999
49091133,4931.0199999999995
49091135,3494.7049999999995
49091136,3121.545
49091137,3210.607
49091165,3886.148
1188762457,2786.3649999999993
1188762458,3895.446999999999
1188762459,3659.8559999999993
1188762469,4443.219999999999
1188762471,2607.5409999999997
1188762473,4048.0099999999993
1188762474,2698.0629999999996
1188762476,2931.9149999999995
1742083115,4753.254
4344648773,4118.240999999999
4344648776,4033.3469999999993
275977300,4449.623
3009680488,4006.8959999999997
3009680489,4270.1759999999995
4604630137,4523.021000000001
49121320,3966.936
49616180,3462.6700000000005
60495209,4174.5560000000005
60495214,4081.696
60495224,3113.93
49091979,3999.5929999999994
49091980,3953.7989999999995
49091981,4016.4309999999996
49091982,4827.168999999999
49091983,4074.776999999999
49091984,4069.1949999999993
49091985,3983.8559999999993
49091986,4014.5979999999995
49091988,4307.541
49091987,4095.2759999999994
1188763120,2505.217
1188763123,2334.8869999999997
1188763122,2421.785
1188763128,1686.551
1188763131,1809.328
1188763132,2253.323
1188763133,2016.683
1188763134,2629.1879999999996
1188763136,1701.608
1188763137,1912.5359999999998
1188763138,2120.734
49223240,3296.7870000000003
49223242,3261.4260000000004
49223246,3474.541
49223247,3581.4770000000003
49223248,3625.5550000000003
48895860,2052.1130000000003
48895866,2152.0519999999997
48895950,3354.3129999999996
48895951,3369.9569999999994
49069391,2648.672
5886974116,4762.530999999999
5886974117,4801.600999999999
1762662590,2162.9610000000002
1762662592,2066.779
1762662594,2144.2410000000004
1762662600,2099.9990000000003
1762662602,2148.7200000000003
2523404508,3755.295
48896312,3921.035999999999
48896320,4271.117999999999
49551712,4523.8910000000005
846535202,3167.1919999999996
846535239,3284.8239999999996
49093318,2070.485
49093319,2018.7720000000002
49093321,2175.3810000000003
49093322,1793.335
49093323,1577.0539999999999
49134640,4175.789000000001
5532359497,4791.272999999998
5532359503,4744.987000000001
49290343,3271.7679999999996
49290346,3342.6059999999998
49290353,3502.547
3378978170,2015.927
3378978171,4438.875
3378978176,2858.2289999999994
3378978177,2404.0299999999997
316743092,2580.04
49094093,2239.4970000000003
49094095,2010.75
49094096,1908.7779999999998
49094097,1978.3290000000002
49094101,1828.468
49094104,2413.4130000000005
49094109,2710.2960000000003
49094110,2645.5040000000004
49094111,2586.4400000000005
2800426493,4990.451999999999
846536215,4065.570999999999
316481090,1395.867
49421918,2459.4429999999998
49421919,2660.403
49290878,4323.803
49290880,4418.320999999999
49290882,4214.257
49290884,4227.802
49290888,4425.977999999999
49290890,4575.349999999999
49749678,2884.073
49749728,4669.525000000001
49749739,4867.263000000001
49291160,4714.974000000001
49291178,4908.0830000000005
435822630,2582.8759999999997
846536992,4952.594
1188766164,2459.7419999999997
1188766170,2426.023
48898586,3285.754
2800427813,4974.032999999999
49750836,4969.093000000002
49357685,2315.343
49357710,4107.485
1214981043,3332.271
49358118,2717.566
48899370,4367.168
49358121,2696.8999999999996
49358123,2794.8269999999998
48899379,3554.6490000000003
49096208,4638.349999999999
49096209,4537.036999999999
49096217,4171.821999999999
49751600,4120.373999999999
49096241,4711.924999999999
49751607,4503.386999999999
49031027,4655.793000000001
4702939024,4851.960999999998
4702939025,4855.297999999999
49096627,4900.951999999999
49096643,3998.1929999999998
275982282,4595.887
49096672,4245.624
1199384576,3634.256
317073476,4958.892999999999
49096795,2302.869
49096797,2213.176
49096798,2266.315
49096799,2297.188
49096800,2290.942
49096805,2536.428
49096806,2618.234
49096808,2957.474
49096809,3043.9410000000003
49096810,3124.277
49096811,3207.041
49096812,3286.255
49096813,3363.319
49096815,3477.5080000000003
48900269,1291.6889999999999
