nid,distance
49217557,4828.941999999999
49086487,101.993
49217559,4766.9749999999985
49086490,0.0
49217562,4664.185999999999
49217586,4461.718
49217589,4661.902999999999
49276600,3655.4079999999994
5423890684,4224.0419999999995
5423890687,4100.913
49021285,3634.077
49086831,4849.987
49086835,4766.472
49414549,1624.815
49414559,1512.537
49414570,1719.534
49086893,3739.706
49086898,3755.298
49086903,3739.3419999999996
49283560,4759.383000000001
49283564,4632.771000000001
49283566,4560.269
49283570,4488.488
49283582,4011.119
49283604,4109.258000000001
370213464,4470.415999999999
370213465,4574.659
277348980,4481.710999999999
49283711,3910.4150000000004
49283713,3846.3620000000005
49283718,3522.2150000000006
49283717,3649.4240000000004
49283721,3327.4980000000005
49283722,3293.5830000000005
49283723,3207.5160000000005
49283720,3411.8980000000006
49283725,2882.9410000000007
49283728,2359.9890000000005
49087206,3614.8539999999994
49087209,3285.8409999999994
49414913,3126.545
49349385,2357.58
49152858,4879.410999999999
49152862,4762.311999999999
49152864,4648.859999999999
49152866,4534.632999999999
49152869,4421.212999999998
49152876,4205.786999999999
49152880,4137.898999999999
49152881,4038.198
49152883,3937.8109999999997
49087347,2777.187
49152887,3834.653
49087352,2900.9610000000002
49152890,2747.029
49087353,2954.6620000000003
49087360,2819.571
49087361,2877.298
49152946,2847.854
49152962,3125.9770000000003
49152981,3770.575
49152983,3750.556
49152984,3739.1160000000004
49152987,3694.2220000000007
49152988,3664.531000000001
49152992,3596.0660000000007
49152994,3572.5970000000007
49152998,3495.5280000000007
49087810,4227.281
49087813,4317.851
533005871,2549.406
48891540,2759.896
1362102029,4226.315
1362102030,4329.856999999999
49416064,2707.542
49023104,4139.692
49023106,4715.172
49678467,4556.210000000001
49350919,3569.1289999999995
49350921,3776.9189999999994
49023246,2970.8230000000003
49350928,4950.7559999999985
49350933,4326.796999999999
49350936,3921.593999999999
48957726,2762.0099999999998
48957727,2779.8129999999996
49350951,4111.833
49785059,4482.396
49285594,3790.21
49285597,3879.883
49285599,4195.093
49285601,4297.1449999999995
49547868,4494.943
49547889,4372.581
49285771,4729.910000000001
49285779,4672.226000000001
49285781,4619.591
49089271,1994.7189999999998
49089272,2106.7509999999997
49154856,210.076
49154858,162.855
49024028,4430.586
49024030,4436.209
49417399,3323.3540000000007
1283132747,4431.429999999999
2138443115,3207.4849999999997
2138443122,3073.1269999999995
1283132802,4406.143
1283132928,4538.8369999999995
1283132957,4407.945000000001
1283132992,4313.586
1283133077,4961.286
49614493,2494.062
49614503,2566.373
49614789,4581.040999999999
49352677,4533.393999999999
49352679,4373.219
49352682,4577.624999999999
49090543,4013.6990000000005
49352693,4724.8589999999995
49090551,4135.539000000001
49090652,2691.0779999999995
49680605,3486.723
49484006,3150.4359999999997
49090902,4399.489
49090905,4324.1179999999995
49090908,4204.338
