nid,lat,lon,distance
49348700,32.614796000000005,-117.051689,2762.213
49348702,32.613277000000004,-117.051079,2940.5199999999995
49348703,32.611404,-117.05036899999999,3159.148
4018995323,32.596139,-117.07708659999999,4435.1770000000015
49152240,32.61145,-117.04501299999998,4193.457
4341498154,32.6401178,-117.0839106,3162.053
4341498165,32.6444517,-117.0856362,3640.2270000000003
49480055,32.615986,-117.062973,1894.941
49480060,32.615459,-117.062752,1957.089
49480065,32.615578,-117.062317,1999.9260000000002
49480067,32.613853000000006,-117.06163000000001,2202.243
49480069,32.612133,-117.06098200000001,2402.8979999999997
49480180,32.629375,-117.06770300000001,1053.032
49480196,32.638750800000004,-117.06983149999999,2214.3829999999994
49611350,32.651478000000004,-117.081581,3726.611
49611356,32.61562,-117.06833600000002,1894.902
49611358,32.614063,-117.067741,1713.024
49611360,32.612331,-117.06707,1913.421
49611362,32.610615,-117.066406,2114.112
49611367,32.633629,-117.075111,1648.9979999999996
49611377,32.632374,-117.07415,1491.7430000000004
49611378,32.628052000000004,-117.072456,985.646
49611414,32.641865,-117.077858,2600.3659999999995
49611416,32.639278000000004,-117.07682,2296.6759999999995
49611422,32.6232431,-117.07056340000001,29.392
49611425,32.623028000000005,-117.07038100000001,0.0
49414966,32.647490999999995,-117.07144199999999,3345.344999999999
49414968,32.64727,-117.072243,3266.4259999999986
49415074,32.6470321,-117.0730758,3184.0429999999988
49415081,32.645309000000005,-117.07919299999999,3003.2199999999993
49415095,32.644161,-117.08328200000001,3346.545
49415102,32.643303,-117.08634199999999,3641.715999999999
49415107,32.642466999999996,-117.089394,3941.558999999999
49415109,32.641890999999994,-117.09142299999999,4142.060999999999
49415112,32.641479,-117.09288000000001,4285.970999999999
49742796,32.614395,-117.07737,2126.667
49742803,32.613415,-117.080063,2236.96
49743067,32.612716999999996,-117.065712,2047.663
49743070,32.610989000000004,-117.065071,2245.889
49743078,32.642151,-117.076843,2504.127
49743084,32.63385,-117.07431799999999,1570.7799999999993
49218881,32.635899,-117.035797,4254.871
49218888,32.634979,-117.03623200000001,4139.994000000001
49481105,32.625011,-117.079872,1647.065
49743549,32.615349,-117.052803,3101.6949999999993
48957143,32.602560100000005,-117.0718877,3425.4640000000013
49284827,32.647388,-117.068207,3530.4229999999993
49284829,32.64785,-117.068398,3584.8189999999995
49284831,32.6483997,-117.0684408,3646.527
49350489,32.639495600000004,-117.0610481,3035.103
49350491,32.637871000000004,-117.06037099999999,2593.313
49350493,32.637203,-117.06011200000002,2515.1759999999995
49219431,32.604541999999995,-117.07263200000001,3656.6810000000014
49350510,32.631687,-117.05956299999998,1857.498
