nid,lat,lon,distance
49152143,32.733253,-117.054108,0
49152144,32.7325509,-117.0537404,85.307
49152147,32.7329158,-117.0549799,89.8
49152148,32.7323208,-117.0546749,161.85
49283224,32.741974,-117.020691,3879.053
49283228,32.742245,-117.020103,3942.228
49283241,32.740269,-117.017227,3994.515
49283243,32.739742,-117.017464,3931.863
49283246,32.738857,-117.017952,3823.049
49283252,32.737213,-117.019203,3602.376
49283256,32.735569,-117.019661,3410.809
49283261,32.7419517,-117.0306649,2966.31
49283263,32.741928,-117.027931,3196.259
49283276,32.73185,-117.019287,3623.452
49276600,32.757652,-117.0578,3800.016
49348815,32.72266,-117.068024,2070.292
49348900,32.732929,-117.0549305,84.952
49348902,32.733944,-117.0554645,208.374
49086831,32.728016,-117.084091,4093.062
49086835,32.728153,-117.08329,4009.547
49086893,32.759529,-117.055717,3780.726
49086898,32.759655,-117.054626,3804.127
49086903,32.760658,-117.053574,3955.746
49283530,32.725521,-117.0849,3909.807
49283560,32.729019,-117.088959,4496.758
49283564,32.730133,-117.089111,4623.37
49283566,32.730785,-117.089104,4695.872
49283570,32.731422,-117.088997,4767.653
49283614,32.7076996,-117.0850262,4739.088
49283613,32.7059265,-117.085039,4936.267
49283617,32.7086497,-117.0849841,4845.503
49283620,32.7104111,-117.084988,4448.528
49283621,32.7123858,-117.085084,4256.732
49283623,32.7137617,-117.0850486,4103.703
49283624,32.716732,-117.0849292,3830.499
49283625,32.7169909,-117.0849177,3859.32
49611303,32.731846,-117.032837,2593.108
49283635,32.7214225,-117.0849376,3450.172
49283638,32.7223186,-117.0849828,3564.298
49283641,32.7241213,-117.0849753,3765.631
49676945,32.73708,-117.004646,4789.529
49414863,32.73167,-117.038727,1840.216
49414864,32.7308997,-117.0386832,1925.968
49087206,32.748302,-117.065659,3997.542
49087209,32.751198,-117.066177,3668.529
49480522,32.705147,-117.057999,4205.035
49480529,32.703281,-117.058006,4412.59
49480534,32.702305,-117.058022,4521.127
49480539,32.701313,-117.058052,4631.468
49087347,32.761982,-117.0612381,4762.524
49087352,32.763474,-117.060257,4561.703
49087353,32.7638264,-117.0598643,4508.002
49087360,32.758972,-117.061188,4530.505
49087361,32.759491,-117.061203,4588.232
49677307,32.716759,-117.093567,4714.68
49284099,32.703259,-117.060799,4652.071
49153028,32.725574,-117.078392,3563.373
49284101,32.702316,-117.060799,4756.928
49153031,32.725609,-117.077438,3473.674
49153032,32.725594,-117.076874,3526.46
49284104,32.701344,-117.060799,4865.01
48956431,32.738705,-117.005699,4836.656
48956432,32.738725,-117.005241,4879.551
3587900541,32.7504253,-117.0405562,3603.027
3587900543,32.7506699,-117.040734,3570.614
49087810,32.744453,-117.057533,2494.616
49087813,32.744308,-117.056587,2585.186
49087836,32.738293,-117.026451,2991.578
49087837,32.739655,-117.02639,3143.133
49087838,32.74052,-117.026367,3239.341
49087840,32.741943,-117.026314,3347.503
49087841,32.7429649,-117.0263192,3438.069
49677736,32.732697,-117.030548,2475.906
295175758,32.7192403,-117.0849177,3484.578
295175765,32.7192188,-117.0842753,3424.396
49350313,32.735916,-117.020638,3356.631
4614719309,32.7578325,-117.0280388,4760.378
4614719310,32.7572646,-117.0290115,4649.648
4614719311,32.7561785,-117.0308837,4438.172
49416064,32.754364,-117.067947,4823.46
295176079,32.7213106,-117.0792739,4600.369
347998190,32.7092368,-117.0762598,4231.406
49481756,32.740292,-117.020203,3804.786
49481758,32.741425,-117.020157,3930.843
49350734,32.731609,-117.041946,1606.643
49350736,32.732639,-117.041931,1721.183
49023104,32.7452407,-117.057537,2407.027
49023106,32.7430832,-117.0553814,2219.947
48957726,32.760605,-117.061218,4712.118
48957727,32.760445,-117.061211,4694.315
49088885,32.713558,-117.072746,3481.069
49088886,32.713833,-117.073517,3457.902
49088887,32.714104,-117.074303,3408.889
49088891,32.715336,-117.074921,3292.867
49088892,32.716026,-117.074921,3216.142
49088893,32.718102,-117.074913,3121.81
49088899,32.7204861,-117.0757671,2938.36
49088900,32.721239,-117.0757526,2854.63
49785059,32.755455,-117.049151,3305.744
49285575,32.725552,-117.025368,4269.084
49285576,32.726154,-117.025436,4336.325
49285594,32.763248,-117.051163,4425.035
49285597,32.7632516,-117.050204,4425.494
49285599,32.7632627,-117.0468332,4204.405
49285601,32.7632629,-117.0457418,4306.457
49089105,32.708832,-117.052994,4012.328
49416795,32.713577,-117.086617,4253.503
49547868,32.733566,-117.075256,3957.671
49089113,32.70509,-117.054367,4622.336
49089122,32.70731,-117.05323,4389.875
49089123,32.708069,-117.05323,4099.564
49547878,32.715118,-117.075783,3369.003
49547880,32.715725,-117.07576,3301.473
49547881,32.718258,-117.075699,3583.188
49547889,32.732632,-117.075829,3835.309
49285771,32.727623,-117.077057,3175.865
49285779,32.728523,-117.082626,3915.301
49285781,32.72831,-117.08213,3862.666
49482397,32.73439,-117.056419,492.182
49482407,32.736679,-117.054176,825.326
49482423,32.727184,-117.070442,1768.23
49351376,32.7272,-117.055977,1659.078
49351377,32.729546,-117.058456,1310.046
49089271,32.759865,-117.06826,4557.891
49089272,32.759853,-117.067062,4659.169
49482599,32.738461,-117.005249,4908.916
49482601,32.739151,-117.00531,4916.549
49154954,32.72337,-117.058617,2081.963
295177209,32.7250999,-117.0741498,2857.352
49548304,32.72049,-117.028038,3859.127
49548309,32.721779,-117.028107,3715.535
49548313,32.723331,-117.028847,3651.66
49024028,32.755959,-117.05011,3441.326
49024030,32.7560085,-117.0501223,3446.949
49548327,32.724751,-117.030907,3663.746
49220807,32.70332,-117.070068,4600.284
49220812,32.704639,-117.069168,4466.716
295177488,32.7258701,-117.0730944,2988.065
2138443115,32.7522036,-117.0668705,3761.939
2138443122,32.7503969,-117.0706073,4165.614
49220980,32.702209,-117.067421,4784.696
49220982,32.702194,-117.066788,4725.443
49155469,32.756058,-117.043022,3711.871
49155471,32.756321,-117.041924,3818.632
49155477,32.757584,-117.040947,3952.122
49155481,32.757854,-117.040878,3921.173
49155595,32.716766,-117.094658,4816.751
49417766,32.739124,-117.050423,1422.75
49417776,32.738667,-117.049713,1304.408
3404009040,32.7209238,-117.0243791,4174.357
3404009041,32.7209331,-117.0240915,4177.983
3404009042,32.7209345,-117.024255,4162.687
3404009044,32.7215047,-117.0242292,4098.75
3404009046,32.7268813,-117.0453916,1717.469
3404009047,32.7268987,-117.0440008,1847.584
49352313,32.711246,-117.068916,3409.79
49352320,32.710026,-117.06913,3563.335
49352321,32.711246,-117.069107,3427.66
49221266,32.738838,-117.04496,1705.529
49221268,32.739716,-117.044952,1803.161
49221269,32.741085,-117.044937,1949.857
49483537,32.728191,-117.03846,2441.58
49483539,32.729716,-117.038277,2053.166
49483540,32.729167,-117.038288,2114.221
3641380642,32.7473851,-117.0215715,4229.159
3641380651,32.7483325,-117.0218847,4291.116
49155889,32.7472891,-117.0304766,3634.189
49155891,32.7472636,-117.0308964,3673.552
49680363,32.705631,-117.05233,4423.948
49090543,32.732155,-117.079689,3925.733
49745904,32.720501,-117.076942,3048.285
49090551,32.732609,-117.07856,3838.682
49418276,32.728115,-117.089737,4611.571
49418286,32.727432,-117.088631,4440.679
49746006,32.7286315,-117.0741263,3184.891
49680505,32.717838,-117.036827,3662.33
49352865,32.7351267,-117.0497872,465.952
49352867,32.7365,-117.04985,619.332
49221843,32.729004,-117.024467,3448.635
49484006,32.755486,-117.06131,3940.811
49484070,32.740494,-117.024834,3382.8
49484107,32.739857,-117.018547,4034.644
49090902,32.7424486,-117.0691279,3899.085
49090905,32.742718,-117.06839,3823.714
49090908,32.742836,-117.067123,3703.934
49090909,32.7433705,-117.0772189,4357.121
49090911,32.7435389,-117.073411,3999.119
49746319,32.705742,-117.060722,4527.553
49090963,32.726929,-117.080276,3594.154
49090968,32.727356,-117.079613,3510.172
49090971,32.728798,-117.078506,3407.684
49418667,32.746319,-117.019997,4251.677
49091044,32.72781,-117.082626,3935.08
49091046,32.727383,-117.081879,4020.193
49091048,32.727211,-117.081627,3877.897
49091056,32.725681,-117.081741,3679.383
49418748,32.744339,-117.049263,1987.674
49418755,32.7461929,-117.0481394,2292.923
49025566,32.7187435,-117.0913306,4284.058
49091226,32.7246555,-117.084186,3826.916
49091228,32.725876,-117.083061,3808.962
