nid,lat,lon
49217537,32.740307,-117.105797
49086467,32.675667,-117.170647
49217545,32.740295,-117.104568
49217547,32.740292,-117.103363
49348622,32.744896,-116.929378
49086482,32.764507,-116.972183
49086483,32.764477,-116.97139
49217557,32.740265,-117.10096
1464991766,32.6154016,-117.020561
49086487,32.766453,-117.082916
49217559,32.740265,-117.09993
49283097,32.774711,-116.9982926
49086490,32.766434,-117.081886
49217562,32.740265,-117.098831
49020959,32.7909772,-117.1591386
49217567,32.739735,-117.164001
49086501,32.682003,-117.047623
49086502,32.682388,-117.047073
49217573,32.739754,-117.161263
49086505,32.691177,-117.059891
49086506,32.690849,-117.059959
49217577,32.739754,-117.160362
49217580,32.7397507,-117.1594435
49741872,32.587101,-117.117981
49217586,32.740261,-117.096588
435879987,32.7079679,-117.1196405
435879989,32.7085486,-117.1196258
49217589,32.7402621,-117.0944477
49741878,32.5839,-117.118011
49217600,32.73925,-117.133629
49217602,32.73925,-117.132507
49217605,32.739258,-117.131439
49217609,32.739258,-117.130371
2009727051,32.636684,-116.9470994
49479756,32.7553385,-117.150009
49348685,32.6687563,-117.0282008
49152079,32.719238,-117.247307
49217615,32.739262,-117.12822
49086544,32.7276354,-116.9604919
49479760,32.755344,-117.148758
49676372,32.6383345,-116.9878625
276693077,32.7568895,-117.2217477
275185749,32.7114527,-117.0997055
49217621,32.7392557,-117.1271604
49406834,32.796165,-117.170387
49217625,32.739258,-117.126068
49348700,32.614796,-117.051689
49348702,32.613277,-117.051079
49348703,32.611404,-117.050369
49414241,32.722374,-117.132957
49348707,32.573383,-117.024246
49348709,32.572857,-117.023857
49348710,32.790348,-116.998444
49414247,32.722355,-117.131142
49217639,32.73925,-117.12307
49414252,32.7223378,-117.1293238
49283181,32.692623,-117.060013
49414254,32.722317,-117.127533
49217644,32.739246,-117.122101
49348720,32.792583,-116.99939
49217653,32.73933,-117.120522
49283191,32.693562,-117.058029
49414263,32.722351,-117.122704
2009727097,32.6383654,-116.9536203
4018995323,32.596139,-117.0770866
49217662,32.740124,-117.119072
49283201,32.7991192,-116.9830333
49217665,32.7405572,-117.1173197
49414284,32.7219749,-117.1602172
673054861,32.7911816,-117.1614778
49152143,32.733253,-117.054108
49152144,32.7325509,-117.0537404
49414287,32.721985,-117.1592958
49414290,32.721992,-117.157478
49152147,32.7329158,-117.0549799
49152148,32.7323208,-117.0546749
49283224,32.741974,-117.020691
49283228,32.742245,-117.020103
49414303,32.584846,-117.094643
49217702,32.581062,-117.121529
49217704,32.581059,-117.119171
49283241,32.740269,-117.017227
49283243,32.739742,-117.017464
49283246,32.738857,-117.017952
48890031,32.7788897,-117.1131026
49283252,32.737213,-117.019203
49479862,32.77026,-116.987419
49283256,32.735569,-117.019661
49610936,32.730826,-116.979395
49086649,32.783825,-117.011169
48890044,32.7786156,-117.1169541
49283261,32.7419517,-117.0306649
49086653,32.785198,-117.011276
49283263,32.741928,-117.027931
49086657,32.786705,-117.010117
49511062,32.769661,-117.037071
49676487,32.777142,-117.164581
49283276,32.73185,-117.019287
49120290,32.793602,-116.94136
49276600,32.757652,-117.0578
49348815,32.72266,-117.068024
49086678,32.6366837,-116.9877004
49086679,32.6371791,-116.9880307
49414360,32.673199,-117.069588
49414361,32.673267,-117.068497
4686217434,32.5869399,-117.1284403
49086680,32.6376821,-116.9883783
49086681,32.638077,-116.9885376
277348578,32.7467736,-117.1086996
49152231,32.600338,-117.042374
49152233,32.599693,-117.042427
49414378,32.676064,-117.06163
49152238,32.598888,-117.042503
49414384,32.676514,-117.060318
49152240,32.61145,-117.045013
49676530,32.574863,-117.060852
49676535,32.671989,-117.050911
48890105,32.760925,-117.153648
