from,to,length,base_speed,oneway
49106958,49217653,59.852,25.0,False
49357322,49217653,216.206,25.0,False
49367968,49283191,76.309,25.0,False
49367966,49283191,33.269,25.0,False
49401411,49414263,84.944,25.0,False
49551694,49414263,73.96,25.0,False
366239931,49414263,212.615,25.0,False
49110723,49414263,120.015,25.0,False
2009727097,2009727097,100.922,25.0,False
49192077,2009727097,80.77,25.0,False
49609539,4018995323,150.727,25.0,False
4018993045,4018995323,189.748,25.0,False
4018993040,4018995323,139.398,25.0,False
49285162,49217662,205.345,25.0,False
49285160,49217662,210.247,25.0,False
49047605,49217662,114.41,25.0,False
49070833,49217662,111.626,25.0,False
49386504,49283201,113.105,25.0,False
49580367,49283201,96.705,25.0,False
49047605,49217665,56.42100000000001,25.0,False
49414287,49414284,86.20299999999999,25.0,False
49414284,275984912,52.346,25.0,True
49110702,49414284,115.65,25.0,True
49344786,49414284,86.115,25.0,True
673054861,49306949,489.649,25.0,True
673054861,48883574,83.93,45.0,True
49065129,673054861,147.422,45.0,True
49152144,49152143,85.307,25.0,False
49407647,49152143,139.017,25.0,False
49348900,49152143,84.95200000000001,25.0,False
49295407,49414287,85.111,25.0,False
49414287,49110703,116.29299999999999,25.0,True
49767224,49414287,168.56,25.0,True
49414290,49110705,116.118,25.0,True
49313729,49414290,84.943,25.0,False
49295407,49414290,84.946,25.0,False
49551712,49414290,109.865,25.0,True
49152148,49152147,72.05,25.0,False
49348900,49152147,4.848,25.0,False
49407642,49152147,61.178000000000004,25.0,False
49617426,49283224,131.101,25.0,False
49283228,49283224,63.175,25.0,False
48961873,49283224,230.673,25.0,False
49788657,49283228,129.485,25.0,False
49283241,49283228,433.214,25.0,False
49605188,49414303,102.391,25.0,False
49605185,49414303,41.458,25.0,False
48917404,49414303,154.972,25.0,False
49217704,49217702,220.93599999999998,25.0,False
49539071,49217704,89.182,25.0,False
49583071,49217704,171.35399999999996,25.0,False
49283243,49283241,62.652,25.0,False
49283256,49283241,710.783,25.0,False
49283246,49283243,108.814,25.0,False
49484107,49283243,102.781,25.0,False
49283252,49283246,220.673,25.0,False
49191807,49283246,304.663,25.0,False
48890031,49756922,249.24,25.0,True
48890031,1229080094,359.7999999999999,25.0,True
6042797995,48890031,57.913000000000004,25.0,True
49283256,49283252,191.567,25.0,False
49202797,49283252,130.575,25.0,False
49172347,49479862,209.13299999999998,25.0,False
49080210,49283256,103.561,25.0,False
49336121,49610936,32.888000000000005,25.0,False
49086653,49086649,160.71,25.0,False
49395798,49086649,166.40900000000002,25.0,False
49092771,49086649,179.15099999999998,25.0,False
48890044,276750708,940.062,65.0,True
49756922,48890044,113.26899999999999,65.0,True
48949146,48890044,95.775,25.0,True
1811066466,49283261,12.88,25.0,False
49283261,4341706967,194.632,25.0,True
1175131251,49283261,78.38,25.0,True
49057731,49086653,83.101,25.0,False
49057734,49086653,262.055,25.0,False
49426323,49283263,201.53099999999998,25.0,False
49087840,49283263,151.244,25.0,False
49133770,49283263,134.873,25.0,False
49081073,49086657,245.389,25.0,False
49057731,49086657,138.879,25.0,False
49270902,49086657,388.24500000000006,25.0,False
49280312,49511062,127.20700000000001,25.0,False
4600209518,49511062,44.108,25.0,False
49146798,49511062,177.957,25.0,False
49460568,49511062,125.66,25.0,False
49088652,49676487,33.75,25.0,False
49061105,49283276,389.47900000000004,25.0,False
49096011,49283276,501.175,25.0,False
49170825,49283276,219.817,25.0,False
