from,to,length
49215414,49348815,123.568
49092337,49348815,164.124
49144087,49348815,141.061
49086679,49086678,63.175
49552427,49086678,133.601
49640687,49086678,221.933
49086680,49086679,64.712
1167694346,49086679,142.364
49414361,49414360,102.397
49485458,49414360,103.085
49346166,49414360,173.059
49459427,49414361,175.175
49200884,49414361,100.987
49105668,4686217434,100.76
49094698,49086680,70.586
49086681,49086680,46.375
277348578,1357347279,302.94
277348578,277348979,214.368
48950167,277348578,610.619
49152233,49152231,71.892
49152238,49152233,90.025
49509887,49152233,161.676
49468609,49414378,98.32
49052793,49414378,165.448
49165730,49414378,103.747
49414384,49414378,133.986
49623083,49152238,85.063
49322869,49152238,282.792
49468612,49414384,111.115
49414394,49414384,125.927
49134862,49152240,220.424
49490091,49676530,65.148
49433002,49676535,31.152
49165426,48890105,77.214
48890106,48890105,5.704
49064035,48890105,109.127
49117390,49414394,256.851
49608391,49414394,88.857
49223828,49414394,91.264
48895950,48890106,103.803
49561951,48890106,162.674
5423890687,5423890684,123.129
49223828,49414396,64.968
49298784,49414396,242.88
2438351106,49414396,80.058
49576069,5423890687,246.953
49194499,5423890687,335.336
49137021,48890113,99.146
48890114,48890113,14.789
49094111,48890113,114.538
49094104,48890114,43.7
49270424,48890114,55.891
1188766164,48890115,28.929
49098675,48890115,76.149
49410776,48890115,87.328
1188766170,48890115,48.458
49274406,48890117,101.243
48890118,48890117,23.751
49068114,48890117,185.1
48890120,48890118,87.923
49520040,48890118,173.608
565321239,48890120,25.256
49072363,48890120,93.535
48890122,48890121,30.024
48904951,48890121,96.631
49040798,48890121,84.918
49531325,48890122,207.49
49229719,48890122,72.014
5263061297,6382878995,131.191
3782888448,6382878995,95.005
6382878996,6382878995,36.824
6382879009,6382878996,23.771
6382879011,6382878996,40.033
6382879004,6382879003,65.251
6382879009,6382879003,96.535
6382879009,6382879003,204.145
6382879013,6382879004,55.57
6382879011,6382879004,96.678
6382879013,6382879005,20.162
6382879012,6382879008,20.639
6382879012,6382879011,55.236
49348902,49348900,123.422
6382879013,6382879012,96.37
48972961,49086759,199.689
49167770,49152297,99.671
49091065,49152297,280.153
49505984,49152297,150.006
4341498154,6050254514,10.497
4341498154,1744991310,190.696
4341505019,4341498154,47.592
1744991317,4341498154,12.498
49086763,49086761,122.576
49087869,49086761,107.987
49192883,49086761,170.192
49086764,49086763,58.174
49379869,49086763,164.128
48871304,49086763,64.252
49086766,49086764,55.476
49301497,49086764,165.198
49076741,49086766,60.737
49219495,49086766,69.27
49220890,49086766,126.257
49076741,49086767,119.999
1188763120,49086767,94.351
49219484,49086767,84.926
49406905,49086767,85.575
49086768,49219487,87.598
1188763120,49086768,13.559
49086769,49086768,105.481
49389073,49086768,83.195
49353189,49086769,82.407
49086770,49086769,106.88
49219489,49086769,87.412
49086770,49007527,86.212
49190262,4341498165,103.13
4341498165,49344871,95.659
49344871,4341498165,93.498
49086775,49086774,89.484
49219471,49086774,84.388
777387210,49086774,100.041
49219462,49086777,45.744
49086777,48914010,154.922
49348926,49348924,53.34
49223736,49348924,42.265
49137761,49348924,136.801
49571694,49348924,29.261
49734576,49348926,33.317
49348935,49348926,139.174
49509830,49152319,51.376
49098205,49152319,71.968
49509825,49152319,88.609
49460838,49480007,134.755
49396074,49480007,197.315
49571918,49480007,92.506
49137761,49348935,315.832
49137761,49348935,206.901
49047914,49348938,123.955
49086799,49086798,401.242
49438496,49086798,104.213
49542792,49086798,103.457
49236107,49086799,101.983
3570881696,49086799,303.824
49236110,49086799,106.283
48890205,48890204,89.4
49346700,48890204,177.107
6377443475,48890204,66.888
49354505,49086814,17.063
49461849,49086814,35.074
49086817,49086814,109.547
1164674999,1164674925,41.577
1164675285,1164674925,90.727
1164675125,1164674925,75.512
49082537,49348962,226.406
49082536,49348962,323.658
49653206,49348962,105.317
49021285,3379002401,405.75
304728677,49021285,45.007
296869755,49021285,47.675
1164670790,1164674927,49.598
1164675021,1164674927,116.146
1164675169,1164674927,96.964
1164675045,1164674927,44.339
49086827,49086825,52.856
49210273,49086825,381.59
49618604,49086825,381.944
49389791,49086827,25.934
49670444,49086827,48.514
49247387,49414511,174.959
49086835,49086831,83.515
49217907,49217905,76.897
49094390,49217905,98.07
49053263,49217905,246.625
1164675125,1164674929,50.726
1164674911,1164674929,63.078
1164675265,1164674929,56.588
49056374,49217907,91.281
49053265,49217907,232.648
49368908,49086835,128.124
49091044,49086835,74.467
49480060,49480055,62.148
49112942,49480055,438.491
49334533,49480055,207.616
49056374,49217913,193.326
49582767,49217913,146.85
49094394,49217913,83.213
49539079,49480060,87.462
49480065,49480060,42.837
49480067,49480065,202.317
49334534,49480065,133.194
49480069,49480067,200.655
49539081,49480067,133.162
49634591,49480067,133.107
49539086,49480069,109.396
49634592,49480069,136.961
49312320,49480072,86.4
49498010,49480072,83.825
49312318,49480072,386.907
2481834428,49152398,11.383
49152398,49082356,585.53
392003524,49152398,270.766
49098668,49152398,110.148
49414559,49414549,112.278
49098672,49152413,156.774
2481834428,49152413,351.104
49082370,49152413,1043.806
48864712,49152413,232.193
49217951,49217950,199.829
49099659,49217950,90.671
49304242,49217950,2.9
49216132,49414559,115.162
49379285,49414559,191.924
49442656,49414559,190.851
49217953,49217951,196.391
49099660,49217951,92.83
2850005685,49217953,48.326
49581045,49217953,92.08
49551761,49217956,200.435
49564573,49414570,113.533
49564571,49414570,52.268
49216132,49414570,91.835
49086898,49086893,106.134
49119660,49086893,222.72
49119646,49086893,290.568
49258383,49086898,176.465
49086903,49086898,151.619
49184424,49086898,231.72
49061001,49152437,80.776
49434458,49152437,152.479
4934699594,49152437,95.978
49306352,49086903,76.805
49258383,49086903,160.509
49395839,49152440,189.667
49395836,49152440,122.042
49331750,49152440,97.302
49085233,49480120,186.698
49659690,49480120,86.976
1130207516,49480120,418.169
49084441,49217979,79.192
49243027,49217979,91.517
49243006,49217979,235.503
357564863,357564863,120.597
3877629704,357564863,730.103
49152458,49152448,285.703
49152448,49259544,167.621
49259544,49152448,170.309
48951912,49152448,110.655
49414604,49414600,86.264
49092202,49283530,202.713
49283560,49283530,586.951
48930844,49283530,85.291
49152460,49152458,13.572
49350969,49152458,39.813
49309119,49152458,66.106
49350124,49414604,71.256
49414610,49414604,119.782
5234033116,5234033112,10.09
5234033112,5234033114,48.294
5234033137,5234033112,119.175
5234033114,5234033115,12.808
5234033114,5234033115,126.819
5234033118,5234033114,10.433
5234033115,5234033119,11.093
5234033138,5234033116,122.822
5234033118,5234033116,48.178
49146384,49146396,185.993
49146384,49146396,284.903
49611339,49146396,83.015
5234033119,5234033118,12.714
5234033128,5234033118,207.407
5234033119,5234033128,203.82
5234033132,5234033120,31.663
5234033138,5234033120,55.251
5234033137,5234033120,448.999
49414635,49414625,103.273
49391974,49414625,65.307
49282009,49414625,365.192
5234033137,5234033126,20.151
49522521,49283560,124.699
49283564,49283560,126.612
49091074,5234033128,18.777
49091074,5234033128,467.806
5234033128,1923492582,154.921
49145816,49283564,57.06
49283566,49283564,72.502
49365285,49283564,57.86
49459519,49283566,101.795
49283570,49283566,71.781
49598608,49152496,61.757
49152502,49152496,537.157
49680620,49152496,179.03
49409605,49283570,58.707
49320585,49283570,86.345
3402597960,49283570,170.594
5234033139,5234033138,61.124
5234033141,5234033139,44.732
5234033140,5234033139,24.317
49106243,49480180,201.335
49539114,49480180,135.604
49623133,49480180,133.509
49152504,49152502,179.694
49214890,49152502,129.456
49429097,49152502,334.648
5349975287,49021430,1926.941
507960160,49021430,483.841
49075915,49021430,942.346
5234033149,5234033142,156.669
49171711,49611257,114.832
49111894,5234033149,359.819
49111866,5234033149,767.674
49178711,49283582,200.042
49079512,49283582,328.745
3403972551,49283582,188.751
49634563,49480196,58.274
49254106,49480196,121.923
49282750,49480196,159.023
5755407143,49480196,75.406
49152520,49152520,96.863
49152541,49152520,73.889
49146424,49146406,347.081
49099048,49146406,256.254
49433674,49146406,70.543
