from,to,weight
49088652,49676487,1.35
49061105,49283276,15.57916
49096011,49283276,20.047
49170825,49283276,8.79268
49120291,49120290,4.85272
49120287,49120290,5.70816
49233204,49120290,3.20424
49276585,49276600,9.74984
49667574,49276600,9.68308
49144655,49276600,4.87956
49215414,49348815,4.94272
49092337,49348815,6.56496
49144087,49348815,5.64244
49086679,49086678,2.527
49552427,49086678,5.34404
49640687,49086678,8.87732
49086680,49086679,2.58848
1167694346,49086679,5.69456
49414361,49414360,4.09588
49485458,49414360,4.1234
49346166,49414360,6.92236
49459427,49414361,7.007
49200884,49414361,4.03948
49105668,4686217434,4.0304
49094698,49086680,2.82344
49086681,49086680,1.855
277348578,1357347279,12.1176
48950167,277348578,24.42476
49152233,49152231,2.87568
49152238,49152233,3.601
49509887,49152233,6.46704
49468609,49414378,3.9328
49052793,49414378,6.61792
49165730,49414378,4.14988
49414384,49414378,5.35944
49623083,49152238,3.40252
49322869,49152238,11.31168
49468612,49414384,4.4446
49414394,49414384,5.03708
49134862,49152240,8.81696
49490091,49676530,2.60592
49433002,49676535,1.24608
49165426,48890105,3.08856
48890106,48890105,0.22816
49064035,48890105,4.36508
49117390,49414394,10.27404
49608391,49414394,3.55428
49223828,49414394,3.65056
48895950,48890106,4.15212
49561951,48890106,6.50696
5423890687,5423890684,4.92516
49223828,49414396,2.59872
49298784,49414396,9.7152
2438351106,49414396,3.20232
49576069,5423890687,7.0558
49194499,5423890687,9.581028571
49137021,48890113,3.96584
48890114,48890113,0.59156
49094111,48890113,4.58152
49094104,48890114,1.748
49270424,48890114,2.23564
1188766164,48890115,1.15716
49098675,48890115,3.04596
49410776,48890115,3.49312
1188766170,48890115,1.93832
49274406,48890117,4.04972
48890118,48890117,0.95004
49068114,48890117,7.404
48890120,48890118,3.51692
49520040,48890118,6.94432
565321239,48890120,1.01024
49072363,48890120,3.7414
48890122,48890121,1.20096
48904951,48890121,3.86524
49040798,48890121,3.39672
49531325,48890122,8.2996
49229719,48890122,2.88056
5263061297,6382878995,5.24764
3782888448,6382878995,3.8002
6382878996,6382878995,1.47296
6382879009,6382878996,0.95084
6382879011,6382878996,1.60132
6382879004,6382879003,2.61004
6382879009,6382879003,3.8614
6382879009,6382879003,8.1658
6382879013,6382879004,2.2228
6382879011,6382879004,3.86712
6382879013,6382879005,0.80648
6382879012,6382879008,0.82556
6382879012,6382879011,2.20944
49348902,49348900,4.93688
6382879013,6382879012,3.8548
48972961,49086759,7.98756
49167770,49152297,3.98684
49091065,49152297,11.20612
49505984,49152297,6.00024
4341498154,6050254514,0.41988
4341498154,1744991310,7.62784
4341505019,4341498154,1.90368
1744991317,4341498154,0.49992
49086763,49086761,4.90304
49087869,49086761,4.31948
49192883,49086761,6.80768
49086764,49086763,2.32696
49379869,49086763,6.56512
48871304,49086763,2.57008
49086766,49086764,2.21904
49301497,49086764,6.60792
49076741,49086766,2.42948
49219495,49086766,2.7708
49220890,49086766,5.05028
49076741,49086767,4.79996
1188763120,49086767,3.77404
49219484,49086767,2.830866667
49406905,49086767,2.8525
49086768,49219487,3.50392
1188763120,49086768,0.54236
49086769,49086768,4.21924
49389073,49086768,3.3278
49353189,49086769,3.29628
49086770,49086769,4.2752
49219489,49086769,3.49648
49086770,49007527,3.44848
49190262,4341498165,4.1252
4341498165,49344871,3.82636
49344871,4341498165,3.73992
49086775,49086774,3.57936
49219471,49086774,3.37552
777387210,49086774,4.00164
49219462,49086777,1.82976
49086777,48914010,6.19688
49348926,49348924,2.1336
49223736,49348924,1.6906
49137761,49348924,5.47204
49571694,49348924,1.17044
49734576,49348926,1.33268
49348935,49348926,5.56696
49509830,49152319,2.05504
49098205,49152319,2.87872
49509825,49152319,3.54436
49460838,49480007,5.3902
49396074,49480007,7.8926
49571918,49480007,3.70024
49137761,49348935,12.63328
49137761,49348935,8.27604
49047914,49348938,4.9582
49086799,49086798,16.04968
49438496,49086798,4.16852
49542792,49086798,4.13828
49236107,49086799,4.07932
3570881696,49086799,12.15296
49236110,49086799,4.25132
48890205,48890204,3.576
49346700,48890204,7.08428
6377443475,48890204,2.67552
49354505,49086814,0.68252
49461849,49086814,1.40296
49086817,49086814,4.38188
1164674999,1164674925,1.66308
1164675285,1164674925,3.62908
1164675125,1164674925,3.02048
49082537,49348962,9.05624
49082536,49348962,12.94632
49653206,49348962,4.21268
49021285,3379002401,10.14375
304728677,49021285,1.125175
1164670790,1164674927,1.98392
1164675021,1164674927,4.64584
1164675169,1164674927,3.87856
1164675045,1164674927,1.77356
49086827,49086825,2.11424
49210273,49086825,15.2636
49618604,49086825,15.27776
49389791,49086827,1.03736
49670444,49086827,1.94056
49247387,49414511,6.99836
49086835,49086831,3.3406
49217907,49217905,3.07588
49094390,49217905,3.9228
49053263,49217905,9.865
1164675125,1164674929,2.02904
1164674911,1164674929,2.52312
1164675265,1164674929,2.26352
49056374,49217907,3.65124
49053265,49217907,9.30592
49368908,49086835,5.12496
49091044,49086835,2.97868
49480060,49480055,2.48592
49112942,49480055,17.53964
49334533,49480055,8.30464
49056374,49217913,7.73304
49582767,49217913,5.874
49094394,49217913,3.32852
49539079,49480060,3.49848
49480065,49480060,1.71348
49480067,49480065,8.09268
49334534,49480065,5.32776
49480069,49480067,8.0262
49539081,49480067,5.32648
49634591,49480067,5.32428
49539086,49480069,4.37584
49634592,49480069,5.47844
49312320,49480072,3.456
49498010,49480072,3.353
49312318,49480072,15.47628
2481834428,49152398,0.45532
49152398,49082356,23.4212
392003524,49152398,10.83064
49098668,49152398,4.40592
49414559,49414549,4.49112
49098672,49152413,3.13548
2481834428,49152413,14.04416
49082370,49152413,20.87612
48864712,49152413,9.28772
49217951,49217950,7.99316
49099659,49217950,3.62684
49304242,49217950,0.116
49216132,49414559,4.60648
49379285,49414559,7.67696
49442656,49414559,7.63404
49217953,49217951,7.85564
49099660,49217951,3.7132
2850005685,49217953,1.93304
49581045,49217953,3.6832
49551761,49217956,8.0174
49564573,49414570,4.54132
49564571,49414570,2.09072
49216132,49414570,3.6734
49086898,49086893,4.24536
49119660,49086893,8.9088
49119646,49086893,11.62272
49258383,49086898,7.0586
49086903,49086898,6.06476
49184424,49086898,9.2688
49061001,49152437,3.23104
49434458,49152437,6.09916
4934699594,49152437,3.83912
49306352,49086903,3.0722
49258383,49086903,6.42036
49395839,49152440,7.58668
49395836,49152440,4.88168
49331750,49152440,3.89208
49085233,49480120,7.46792
49659690,49480120,3.47904
1130207516,49480120,16.72676
49084441,49217979,3.16768
49243027,49217979,3.66068
49243006,49217979,9.42012
357564863,357564863,4.82388
3877629704,357564863,29.20412
49152458,49152448,11.42812
49152448,49259544,6.70484
49259544,49152448,6.81236
48951912,49152448,4.4262
49414604,49414600,3.45056
49092202,49283530,8.10852
49283560,49283530,23.47804
48930844,49283530,3.41164
49152460,49152458,0.54288
49350969,49152458,1.59252
49309119,49152458,2.64424
49350124,49414604,2.85024
49414610,49414604,4.79128
5234033116,5234033112,0.4036
5234033112,5234033114,1.93176
5234033137,5234033112,4.767
5234033114,5234033115,0.51232
5234033114,5234033115,5.07276
5234033118,5234033114,0.41732
5234033115,5234033119,0.44372
5234033138,5234033116,4.91288
5234033118,5234033116,1.92712
49146384,49146396,7.43972
49146384,49146396,11.39612
49611339,49146396,3.3206
5234033119,5234033118,0.50856
5234033128,5234033118,8.29628
5234033119,5234033128,8.1528
5234033132,5234033120,1.26652
5234033138,5234033120,2.21004
5234033137,5234033120,17.95996
49414635,49414625,4.13092
49391974,49414625,2.61228
