id,num
1,2869
2,2592
3,3574
4,2412
5,2622
6,2224
7,1540
8,2709
9,3659
10,2689
11,2213
12,2829
13,4424
14,4524
15,3702
16,3519
17,3239
18,2946
19,4321
20,1377
21,2279
22,1292
23,4217
24,1997
25,4537
26,2531
27,2139
28,1909
29,3373
30,2271
31,2351
32,2207
33,2333
34,1742
35,3984
36,3241
37,4596
38,2298
39,2735
40,3700
41,3663
42,3648
43,3266
44,3672
45,1558
46,2318
47,2462
48,2049
49,4046
50,2932
51,2405
52,1975
53,1990
54,2989
55,2231
56,2719
57,4433
58,2538
59,1598
60,3765
61,3344
62,1673
63,1653
64,3902
65,2890
66,2462
67,2711
68,3201
69,2287
70,2715
71,1886
72,2979
73,1943
74,2160
75,1945
76,4332
77,4165
78,2858
79,2168
80,3757
81,3860
82,2140
83,3040
84,2107
85,3937
86,1346
87,3155
88,3474
89,2853
90,3454
91,3516
92,3492
93,4006
94,2598
95,4213
96,2161
97,2067
98,1624
99,2475
100,2530
101,1190
102,1707
103,3476
104,2081
105,3061
106,3787
107,3157
108,3960
109,2318
110,2905
111,3614
112,1927
113,4401
114,2120
115,3502
116,1861
117,1796
118,2785
119,3465
120,4510
121,3170
122,1861
123,2665
124,2821
125,1994
126,2399
127,3806
128,3519
129,1441
130,4086
131,3449
132,2330
133,2490
134,2235
135,2225
136,4339
137,2039
138,3552
139,1986
140,3131
141,2761
142,1497
143,4581
144,2182
145,2528
146,1278
147,1722
148,2323
149,1792
150,1793
151,3192
152,1346
153,3165
154,1722
155,3306
156,1774
157,2165
158,4247
159,4837
160,2117
161,1840
162,2498
163,2635
164,3826
165,4438
166,2531
167,3171
168,4811
169,2502
170,2833
171,2892
172,2169
173,2275
174,4474
175,1915
176,2514
177,3300
178,3859
179,5008
180,3165
181,4902
182,2203
183,1499
184,1982
185,2963
186,3244
187,2256
188,4660
189,4765
190,1869
191,3955
192,4416
193,3323
194,1676
195,1975
196,2087
197,1978
198,4177
199,4276
200,2020
201,3525
202,1959
203,1380
204,1471
205,2230
206,1869
207,3262
208,2810
209,2717
210,3715
211,2572
212,2444
213,2561
214,3192
215,3329
216,2898
217,2046
218,4651
219,4172
220,2077
221,1865
222,2736
223,3055
224,1917
225,4914
226,3705
227,2482
228,2408
229,2367
230,2581
231,3104
232,1469
233,2176
234,3873
235,5124
236,1569
237,1952
238,2670
239,2153
240,3531
241,5149
242,1978
243,3028
244,2121
245,3691
246,2818
247,375
248,2076
249,5187
250,4286
251,2232
252,4411
253,2666
254,2416
255,3160
256,2670
257,2239
258,2956
259,1758
260,1252
261,1643
262,2313
263,2598
264,2502
265,4128
266,2208
267,1785
268,1197
269,4587
270,1732
271,3339
272,3406
273,3663
274,4775
275,2641
276,2284
277,5431
278,4492
279,2372
280,4402
281,2072
282,2789
283,3612
284,2826
285,1737
286,2187
287,1812
288,2183
289,2134
290,2285
291,2189
292,1914
293,1675
294,1582
295,3366
296,2095
297,3632
298,2375
299,2456
300,3381
301,1791
302,1999
303,4767
304,3160
305,3721
306,3109
307,3274
308,1891
309,4131
310,2807
311,3397
312,3788
313,3020
314,1262
315,2187
316,2226
317,1003
318,2600
319,2801
320,2158
321,1934
322,2819
323,1636
324,2741
325,2508
326,3557
327,3306
328,1641
329,2945
330,1374
331,1647
332,2303
333,2525
334,3714
335,4120
336,1964
337,4168
338,2484
339,1655
340,3563
341,2807
342,5163
343,5252
344,2597
345,4126
346,1730
347,2878
348,3090
349,3347
350,2621
351,2731
352,1902
353,2052
354,1962
355,4039
356,4237
357,4364
358,2936
359,1693
360,2694
361,2718
362,3109
363,1880
364,1952
365,2634
366,2351
367,3307
368,3161
369,1889
370,3887
371,1658
372,2658
373,1512
374,2468
375,2165
376,2901
377,1698
378,2102
379,3844
380,2425
381,2669
382,2382
383,1870
384,3517
385,3183
386,2429
387,3222
388,3148
389,2607
390,3773
391,2334
392,1660
393,4205
394,2179
395,3179
396,2234
397,3989
398,3591
399,1914
400,3958
401,3538
402,4911
403,1052
404,3908
405,2924
406,3169
407,3707
408,3306
409,3724
410,3091
411,2100
412,3275
413,1944
414,3178
415,3922
416,2630
417,2476
418,2689
419,2165
420,3376
421,3514
422,1977
423,3170
424,3763
425,2315
426,4035
427,1827
428,2725
429,3810
430,2318
431,2050
432,2945
433,4892
434,2769
435,3615
436,4710
437,3069
438,2521
439,2598
440,2647
441,2019
442,2513
443,2124
444,2270
445,2091
446,2404
447,2762
448,2277
449,3029
450,3020
451,2465
452,3289
453,3259
454,2195
455,1310
456,3955
457,3437
458,5064
459,2144
460,4184
461,2345
462,2760
463,1727
464,2510
465,2003
466,2178
467,3308
468,2398
469,1915
470,3354
471,2747
472,1653
473,3442
474,3690
475,3522
476,3729
477,3290
478,2615
479,2574
480,2130
481,2094
482,3240
483,2146
484,4138
485,2554
486,2939
487,4511
488,3267
489,3051
490,1951
491,4521
492,2027
493,3879
494,3595
495,2744
496,4124
497,1180
498,2397
499,3701
500,2771
501,3424
502,2090
503,1772
504,3261
505,2885
506,3433
507,2928
508,2989
509,2348
510,3800
511,2731
512,1492
513,4091
514,1658
515,2670
516,1481
517,2296
518,2566
519,3119
520,5131
521,3683
522,2348
523,4043
524,2111
525,1312
526,3931
527,3869
528,2980
529,1839
530,3493
531,1566
532,2100
533,2608
534,4850
535,2987
536,3465
537,1850
538,3427
539,4807
540,857
541,4418
542,2754
543,2436
544,2718
545,3965
546,2592
547,4412
548,3182
549,2310
550,2055
551,3200
552,4620
553,1519
554,2454
555,1857
556,2255
557,4406
558,3031
559,3872
560,2650
561,2151
562,5245
563,3631
564,5440
565,1811
566,2100
