nid,access,base_speed,bridge,from,highway,junction,key,landuse,lanes,length,maxspeed,name,oneway,osmid,ref,service,to,weigth,tunnel,width,geometry
370213464,,25,,370213464,motorway_link,,0,,2,110.58200000000001,25 mph,,True,"[436436177, 32866883]",,,5717326553,4.42328,,,"LINESTRING (-117.1092739 32.7507351, -117.1094317 32.7500715, -117.1094493 32.7497541)"
370213464,,25,,370213464,motorway_link,,0,,"['3', '2']",108.56299999999999,25 mph,,True,"[541308733, 436436182]",,,370213465,4.3425199999999995,,,"LINESTRING (-117.1092739 32.7507351, -117.1092973 32.7501306, -117.1092792 32.7497594)"
370213465,,25,,370213465,motorway_link,,0,,,14.460999999999999,25 mph,,True,35411614,,,5717326552,0.57844,,,"LINESTRING (-117.1092792 32.7497594, -117.1092834 32.7496294)"
370213465,,25,,370213465,secondary,,0,,,15.919,25 mph,University Avenue,True,436435983,,,5717326553,0.63676,,,"LINESTRING (-117.1092792 32.7497594, -117.1094493 32.7497541)"
5717326552,,25,,5717326552,secondary,,0,,4,85.905,25 mph,University Avenue,True,436436147,,,4343291730,3.4362,,,"LINESTRING (-117.1092834 32.7496294, -117.1088505 32.7496233, -117.1084079 32.7496222, -117.1083649 32.7496213)"
5717326552,,25,,5717326552,motorway_link,,0,,,449.414,25 mph,,True,35411614,,,49199184,17.97656,,,"LINESTRING (-117.1092834 32.7496294, -117.1092894 32.7494438, -117.1091201 32.7474522, -117.1091201 32.7470335, -117.109163 32.7465714, -117.1092474 32.7461402, -117.1093776 32.7456113)"
49199184,,65,,49199184,motorway,,0,,5,486.045,65 mph,Escondido Freeway,True,"[123461872, 5971159]",CA 15,,48946751,7.477615385,,,"LINESTRING (-117.1093776 32.7456113, -117.109575 32.745171, -117.1098325 32.7447306, -117.11009 32.7444129, -117.1104162 32.7440736, -117.1121242 32.7422905, -117.112347 32.7420574)"
48946751,,25,yes,48946751,motorway_link,,0,,,1144.279,25 mph,,True,"[25289449, 135153238, 5946447]",,,49181655,45.771159999999995,,,"LINESTRING (-117.112347 32.7420574, -117.1130235 32.7413933, -117.1134031 32.7408177, -117.1135919 32.7404279, -117.1145298 32.7385591, -117.1145899 32.7383871, -117.1147373 32.7380553, -117.1148731 32.7376581, -117.1149237 32.7372432, -117.1148978 32.7368822, -117.114838 32.7365, -117.1147348 32.7361169, -117.1144625 32.7355142, -117.113896 32.7346623, -117.1133381 32.7338176, -117.1130186 32.7333661, -117.1125165 32.7328178)"
48946751,,65,,48946751,motorway,,0,,"['3', '2']",1663.13,65 mph,Escondido Freeway,True,"[5971016, 123461859, 123461868, 436435864]",CA 15,,49197450,25.58661538,,,"LINESTRING (-117.112347 32.7420574, -117.1129396 32.7412942, -117.1131799 32.7408683, -117.1133773 32.7404279, -117.113549 32.739937, -117.1137121 32.7392583, -117.1137636 32.7387241, -117.1137587 32.7381856, -117.1137072 32.737774, -117.1136214 32.7374275, -117.113484 32.7369077, -117.1132952 32.7364528, -117.1125227 32.7346984, -117.1123887 32.7343603, -117.1121451 32.7337454, -117.112049 32.7334172, -117.1120259 32.7333382, -117.1119992 32.7332472, -117.1118533 32.7326912, -117.1117846 32.7322725, -117.1117674 32.7319331, -117.1117523 32.7307809, -117.1118295 32.7301311, -117.1120098 32.7293079, -117.1120678 32.7290739, -117.1122653 32.7284674, -117.1124197 32.7280991, -117.1126381 32.7277198)"
49197450,,65,,49197450,motorway,,0,,"['4', '2']",952.194,65 mph,Escondido Freeway,True,"[138307360, 436591714]",CA 15,,49197466,14.64913846,,,"LINESTRING (-117.1126381 32.7277198, -117.1130635 32.7269583, -117.113234 32.7267237, -117.1137244 32.7260485, -117.1147887 32.7245394, -117.115566 32.723437, -117.1158959 32.7228954, -117.1162178 32.7223606, -117.1166872 32.7216588, -117.1169688 32.7212414, -117.1171297 32.7209277, -117.1173202 32.7205531, -117.1174729 32.7201989)"
49197466,,65,,49197466,motorway,,0,,2,713.482,65 mph,Escondido Freeway,True,"[25288672, 642751812]",CA 15,,275453258,10.97664615,,,"LINESTRING (-117.1174729 32.7201989, -117.1176141 32.7197952, -117.1176898 32.7195352, -117.1178271 32.718972, -117.1178957 32.7185604, -117.1179387 32.7182426, -117.1179472 32.7180043, -117.117943 32.717651, -117.117896 32.714798, -117.117909 32.714681, -117.1179908 32.7142557, -117.1180803 32.7138382)"
49197466,,25,,49197466,motorway_link,,0,,,580.029,25 mph,,True,5942240,,,49331073,23.20116,,,"LINESTRING (-117.1174729 32.7201989, -117.1177474 32.7195658, -117.1179103 32.7190928, -117.1181786 32.7182762, -117.1182984 32.7179024, -117.1183555 32.7177617, -117.1184226 32.7176172, -117.118554 32.7174593, -117.1186774 32.7173555, -117.1188464 32.7172426, -117.1192762 32.7170542, -117.1195008 32.7169558, -117.1202196 32.7166785, -117.1209857 32.716394)"
