nid,access,base_speed,bridge,from,highway,junction,key,landuse,lanes,length,maxspeed,name,oneway,osmid,ref,service,to,weigth,tunnel,width,geometry
49087097,,25,,49087097,residential,,0,,,79.98100000000001,25 mph,Preece Court,False,5959660,,,49087096,3.19924,,,"LINESTRING (-117.174637 32.795853, -117.175491 32.795898)"
49087096,,25,,49087096,residential,,0,,,79.98100000000001,25 mph,Preece Court,False,5959660,,,49087097,3.19924,,,"LINESTRING (-117.174637 32.795853, -117.175491 32.795898)"
49087096,,25,,49087096,residential,,0,,,77.305,25 mph,Comstock Street,False,256799883,,,49107094,3.0922,,,"LINESTRING (-117.1754 32.796589, -117.175491 32.795898)"
49087096,,25,,49087096,residential,,0,,,75.844,25 mph,Comstock Street,False,256799883,,,49068309,3.03376,,,"LINESTRING (-117.175568 32.795219, -117.175491 32.795898)"
49087096,,25,,49087096,residential,,0,,,174.922,25 mph,Preece Street,False,6035334,,,49350983,6.99688,,,"LINESTRING (-117.177063 32.795254, -117.176933 32.795441, -117.176689 32.795647, -117.176529 32.795738, -117.176323 32.795826, -117.17601 32.795895, -117.175797 32.79591, -117.175491 32.795898)"
49068309,,25,,49068309,residential,,0,,,75.844,25 mph,Comstock Street,False,256799883,,,49087096,3.03376,,,"LINESTRING (-117.175568 32.795219, -117.175491 32.795898)"
49068309,,25,,49068309,residential,,0,,,85.723,25 mph,Comstock Street,False,256799883,,,49107093,3.4289199999999997,,,"LINESTRING (-117.175568 32.795219, -117.175613 32.794449)"
49068309,,25,,49068309,residential,,0,,,177.34400000000002,25 mph,Orr Street,False,5957843,,,49068313,7.0937600000000005,,,"LINESTRING (-117.173683 32.795307, -117.174232 32.795223, -117.174622 32.795189, -117.174843 32.795185, -117.175568 32.795219)"
49068309,,25,,49068309,residential,,0,,,393.745,25 mph,Nye Street,False,5959086,,,49081036,15.7498,,,"LINESTRING (-117.176323 32.792168, -117.176376 32.79266, -117.176422 32.793545, -117.176407 32.794392, -117.176399 32.794777, -117.176353 32.794922, -117.176308 32.794994, -117.17614 32.795132, -117.175957 32.795204, -117.175812 32.795231, -117.175568 32.795219)"
49068313,,25,,49068313,residential,,0,,,315.367,25 mph,Ulric Street,False,256799882,,,49107100,12.61468,,,"LINESTRING (-117.173683 32.795307, -117.173752 32.795685, -117.173767 32.795864, -117.173806 32.796051, -117.173813 32.796082, -117.173833 32.79675, -117.173843 32.797287, -117.173866 32.797421, -117.17395 32.797573, -117.174088 32.797707, -117.174294 32.797802, -117.174492 32.797836)"
49068313,,25,,49068313,residential,,0,,,306.278,25 mph,Ulric Street,False,256799882,,,49107390,12.25112,,,"LINESTRING (-117.173683 32.795307, -117.1734013 32.7943485, -117.1729482 32.7928071, -117.172897 32.792633)"
49068313,,25,,49068313,residential,,0,,,177.34400000000002,25 mph,Orr Street,False,5957843,,,49068309,7.0937600000000005,,,"LINESTRING (-117.173683 32.795307, -117.174232 32.795223, -117.174622 32.795189, -117.174843 32.795185, -117.175568 32.795219)"
49107390,,25,,49107390,tertiary,,0,,,250.726,25 mph,Osler Street,False,256531596,,,49107090,10.02904,,,"LINESTRING (-117.172897 32.792633, -117.1732589 32.7925633, -117.1741202 32.7923976, -117.174461 32.792332, -117.175072 32.792248, -117.1755298 32.7922239)"
49107390,,25,,49107390,tertiary,,0,,,88.01299999999999,25 mph,Ulric Street,False,202907440,,,49569122,3.52052,,,"LINESTRING (-117.172684 32.791862, -117.1726946 32.7919005, -117.172897 32.792633)"
49107390,,25,,49107390,tertiary,,0,,,279.563,25 mph,Osler Street,False,256531596,,,49065139,11.18252,,,"LINESTRING (-117.1703352 32.793746, -117.1704273 32.7936518, -117.170667 32.7933958, -117.1709514 32.7931658, -117.1710151 32.7931275, -117.1711391 32.7930531, -117.1713215 32.7929719, -117.171631 32.792896, -117.1720209 32.7928151, -117.1720668 32.7928056, -117.1723264 32.7927518, -117.172412 32.792734, -117.172897 32.792633)"
49107390,,25,,49107390,residential,,0,,,306.278,25 mph,Ulric Street,False,256799882,,,49068313,12.25112,,,"LINESTRING (-117.173683 32.795307, -117.1734013 32.7943485, -117.1729482 32.7928071, -117.172897 32.792633)"
49065139,,45,,49065139,secondary,,0,,"['4', '2']",462.89099999999996,45 mph,Genesee Avenue,False,"[337740478, 337740470, 337739686]",,,673059014,10.28646667,,,"LINESTRING (-117.1703352 32.793746, -117.1704227 32.7938175, -117.1705446 32.7939171, -117.170772 32.794147, -117.1710714 32.7945677, -117.1712702 32.7949491, -117.1713988 32.7953482, -117.1715321 32.7964176, -117.1716186 32.7970742, -117.1716257 32.797145, -117.1716631 32.7974025, -117.1716771 32.7974792, -117.171682 32.7976335)"
