nid,access,base_speed,bridge,from,highway,junction,key,landuse,lanes,length,maxspeed,name,oneway,osmid,ref,service,to,weigth,tunnel,width,geometry
5717326552,,25,,5717326552,secondary,,0,,4,85.905,25 mph,University Avenue,True,436436147,,,4343291730,3.4362,,,"LINESTRING (-117.1092834 32.7496294, -117.1088505 32.7496233, -117.1084079 32.7496222, -117.1083649 32.7496213)"
5717326552,,25,,5717326552,motorway_link,,0,,,449.414,25 mph,,True,35411614,,,49199184,17.97656,,,"LINESTRING (-117.1092834 32.7496294, -117.1092894 32.7494438, -117.1091201 32.7474522, -117.1091201 32.7470335, -117.109163 32.7465714, -117.1092474 32.7461402, -117.1093776 32.7456113)"
4343291730,,25,,4343291730,motorway_link,,0,,3,15.959000000000001,25 mph,,True,436436188,,,277348980,0.63836,,,"LINESTRING (-117.1083649 32.7496213, -117.1082854 32.7497483)"
4343291730,,25,,4343291730,secondary,,0,,4,12.685,25 mph,University Avenue,True,436436147,,,4343291726,0.5074,,,"LINESTRING (-117.1083649 32.7496213, -117.1082294 32.7496162)"
4343291726,,25,,4343291726,secondary,,0,,,60.015,25 mph,University Avenue,True,436436165,,,2668996615,2.4006,,,"LINESTRING (-117.1082294 32.7496162, -117.1081499 32.7496125, -117.1075878 32.7496155)"
2668996615,,25,,2668996615,secondary,,0,,3,62.269,25 mph,University Avenue,True,"[436436114, 436436165]",,,49251143,2.49076,,,"LINESTRING (-117.1075878 32.7496155, -117.1072265 32.7496193, -117.107065 32.749621, -117.1069299 32.7496604)"
49251143,,25,,49251143,secondary,,0,,,40.65,25 mph,University Avenue,True,436436168,,,4343291759,1.626,,,"LINESTRING (-117.1069299 32.7496604, -117.1069946 32.749709, -117.1073104 32.7497253, -117.1073419 32.7497263)"
49251143,,25,,49251143,secondary,,0,,4,115.95700000000001,25 mph,University Avenue,False,"[436436035, 436436139]",,,49251144,4.63828,,,"LINESTRING (-117.10569 32.749653, -117.1059269 32.7496543, -117.1059644 32.7496545, -117.1060691 32.7496551, -117.1063273 32.7496566, -117.1066419 32.7496586, -117.1069299 32.7496604)"
49251143,,25,,49251143,residential,,0,,,207.426,25 mph,41st Street,False,641705106,,,49410255,8.297039999999999,,,"LINESTRING (-117.106941 32.747795, -117.1069331 32.7491191, -117.1069299 32.7496604)"
49251143,,25,,49251143,residential,,0,,,56.934,25 mph,41st Street,False,641705108,,,3393379979,2.27736,,,"LINESTRING (-117.1069254 32.7501724, -117.106925 32.7501072, -117.1069248 32.7500812, -117.1069299 32.7496604)"
49251144,,25,,49251144,residential,,0,,,207.835,25 mph,Marlborough Avenue,False,33413213,,,49631911,8.3134,,,"LINESTRING (-117.10569 32.749653, -117.1056968 32.7490977, -117.1057022 32.7486601, -117.105713 32.747784)"
49251144,,25,,49251144,secondary,,0,,4,115.95700000000001,25 mph,University Avenue,False,"[436436035, 436436139]",,,49251143,4.63828,,,"LINESTRING (-117.10569 32.749653, -117.1059269 32.7496543, -117.1059644 32.7496545, -117.1060691 32.7496551, -117.1063273 32.7496566, -117.1066419 32.7496586, -117.1069299 32.7496604)"
