nid,access,base_speed,bridge,from,highway,junction,key,landuse,lanes,length,maxspeed,name,oneway,osmid,ref,service,to,weigth,tunnel,width,geometry
49086490,,25,,49086490,residential,,0,,,101.993,25 mph,Augustana Place,False,5959590,,,49086487,4.07972,,,"LINESTRING (-117.081886 32.766434, -117.08223 32.766579, -117.082336 32.766582, -117.082916 32.766453)"
49086490,,25,,49086490,residential,,0,,,429.05300000000005,25 mph,Atlanta Drive,False,6005105,,,49268673,17.16212,,,"LINESTRING (-117.080177 32.763416, -117.080162 32.764347, -117.080177 32.764553, -117.080307 32.764893, -117.081261 32.766445, -117.081352 32.766525, -117.081497 32.766575, -117.081596 32.766579, -117.081741 32.766544, -117.081886 32.766434)"
49086490,,25,,49086490,residential,,0,,,81.178,25 mph,Austin Drive,False,6050156,,,49687281,3.2471200000000002,,,"LINESTRING (-117.08168 32.765755, -117.081902 32.766136, -117.081932 32.766312, -117.081886 32.766434)"
49268673,,25,,49268673,residential,,0,,,429.05300000000005,25 mph,Atlanta Drive,False,6005105,,,49086490,17.16212,,,"LINESTRING (-117.080177 32.763416, -117.080162 32.764347, -117.080177 32.764553, -117.080307 32.764893, -117.081261 32.766445, -117.081352 32.766525, -117.081497 32.766575, -117.081596 32.766579, -117.081741 32.766544, -117.081886 32.766434)"
49268673,,25,,49268673,residential,,0,,,76.148,25 mph,Collier Avenue,False,5978710,,,49091261,3.04592,,,"LINESTRING (-117.080177 32.763416, -117.080093 32.763454, -117.080002 32.76347, -117.079376 32.763474)"
49268673,,25,,49268673,residential,,0,,,83.81200000000001,25 mph,Collier Avenue,False,5978710,,,49268663,3.3524800000000003,,,"LINESTRING (-117.080177 32.763416, -117.080406 32.763268, -117.080566 32.763214, -117.081001 32.763222)"
49091261,,25,,49091261,tertiary,,0,,,91.625,25 mph,54th Street,False,203840779,,,49091260,3.665,,,"LINESTRING (-117.079376 32.763474, -117.079376 32.76265)"
49091261,,25,,49091261,residential,,0,,,308.194,25 mph,Collier Avenue,False,5978710,,,49268683,12.327760000000001,,,"LINESTRING (-117.07608 32.76347, -117.079376 32.763474)"
49091261,,25,,49091261,residential,,0,,,76.148,25 mph,Collier Avenue,False,5978710,,,49268673,3.04592,,,"LINESTRING (-117.080177 32.763416, -117.080093 32.763454, -117.080002 32.76347, -117.079376 32.763474)"
49091261,,25,,49091261,tertiary,,0,,,210.122,25 mph,54th Street,False,203840779,,,49091266,8.40488,,,"LINESTRING (-117.079643 32.765324, -117.079643 32.765095, -117.079552 32.764801, -117.079399 32.764511, -117.079369 32.764389, -117.079376 32.763474)"
49091260,,25,,49091260,residential,,0,,,41.336999999999996,25 mph,Adams Avenue,False,5962477,,,49051624,1.6534799999999998,,,"LINESTRING (-117.078934 32.762657, -117.079376 32.76265)"
49091260,,25,,49091260,tertiary,,0,,,91.625,25 mph,54th Street,False,203840779,,,49091261,3.665,,,"LINESTRING (-117.079376 32.763474, -117.079376 32.76265)"
49091260,,25,,49091260,residential,,0,,,93.458,25 mph,Adams Avenue,False,5962477,,,49113838,3.73832,,,"LINESTRING (-117.080238 32.762241, -117.080093 32.762268, -117.079941 32.762325, -117.079376 32.76265)"
49091260,,25,,49091260,tertiary,,0,,,408.101,25 mph,54th Street,False,"[5959994, 203840779]",,,49067160,16.32404,,,"LINESTRING (-117.079628 32.759045, -117.079491 32.759136, -117.079437 32.759247, -117.0794263 32.7598491, -117.0794175 32.7603394, -117.0794017 32.7612265, -117.079396 32.761545, -117.079376 32.76265)"
49067160,,25,,49067160,tertiary,,0,,,408.101,25 mph,54th Street,False,"[5959994, 203840779]",,,49091260,16.32404,,,"LINESTRING (-117.079628 32.759045, -117.079491 32.759136, -117.079437 32.759247, -117.0794263 32.7598491, -117.0794175 32.7603394, -117.0794017 32.7612265, -117.079396 32.761545, -117.079376 32.76265)"
49067160,,25,,49067160,tertiary,,0,,,134.519,25 mph,"['54th Street', 'Collwood Boulevard']",False,"[662514682, 637117411]",,,4342978455,5.3807599999999995,,,"LINESTRING (-117.079628 32.759045, -117.079437 32.758778, -117.079376 32.758537, -117.0793687 32.7583119, -117.0793676 32.7582774, -117.0793535 32.7578855)"
49067160,,25,,49067160,tertiary,,0,,,138.431,25 mph,Collwood Boulevard,False,"[662514681, 662514682]",,,49067162,5.53724,,,"LINESTRING (-117.080688 32.759914, -117.079765 32.759162, -117.0797487 32.7591481, -117.079628 32.759045)"
4342978455,,25,,4342978455,primary,,0,,,141.16899999999998,25 mph,El Cajon Boulevard,True,436403122,US 80 Historic,,4342978451,5.64676,,,"LINESTRING (-117.0793535 32.7578855, -117.0796271 32.757851, -117.0803317 32.7577544, -117.080679 32.7577067, -117.080844 32.7576841)"
4342978455,,25,,4342978455,tertiary,,0,,,14.214,25 mph,54th Street,True,624644162,,,5898567009,0.5685600000000001,,,"LINESTRING (-117.0793535 32.7578855, -117.0794272 32.7577737)"
4342978455,,25,,4342978455,tertiary,,0,,,134.519,25 mph,"['54th Street', 'Collwood Boulevard']",False,"[662514682, 637117411]",,,49067160,5.3807599999999995,,,"LINESTRING (-117.079628 32.759045, -117.079437 32.758778, -117.079376 32.758537, -117.0793687 32.7583119, -117.0793676 32.7582774, -117.0793535 32.7578855)"
4342978451,,25,,4342978451,residential,,0,,,102.071,25 mph,Marcellena Road,False,6006726,,,49487119,4.08284,,,"LINESTRING (-117.080844 32.7576841, -117.0808391 32.7580913, -117.0808379 32.7581906, -117.0808372 32.7582549, -117.080833 32.758602)"
4342978451,,25,,4342978451,primary,,0,,3,87.334,25 mph,El Cajon Boulevard,True,"[436403122, 436403099]",US 80 Historic,,4342978449,3.49336,,,"LINESTRING (-117.080844 32.7576841, -117.0813181 32.7576203, -117.0814627 32.7576009, -117.0817662 32.75756)"
4342978451,,25,,4342978451,residential,,0,,,12.699000000000002,25 mph,Marcellena Road,False,6006726,,,49460469,0.5079600000000001,,,"LINESTRING (-117.0808454 32.7575699, -117.080844 32.7576841)"
4342978449,,25,,4342978449,residential,,0,,,13.718,25 mph,53rd Street,False,5997090,,,49420047,0.54872,,,"LINESTRING (-117.0817662 32.75756, -117.0817452 32.7574379)"
4342978449,,25,,4342978449,primary,,0,,,72.271,25 mph,El Cajon Boulevard,True,436403120,US 80 Historic,,4342978447,2.8908400000000003,,,"LINESTRING (-117.0817662 32.75756, -117.0825291 32.757456)"
4342978447,,25,,4342978447,residential,,0,,,167.765,25 mph,Dawson Avenue,False,634564520,,,49115719,6.7106,,,"LINESTRING (-117.0825291 32.757456, -117.082527 32.7578235, -117.082527 32.757903, -117.0825252 32.7580294, -117.0825167 32.7589647)"
4342978447,,25,,4342978447,primary,,0,,3,105.823,25 mph,El Cajon Boulevard,True,"[634564521, 617512260, 436403111]",US 80 Historic,,49460465,4.23292,,,"LINESTRING (-117.0825291 32.757456, -117.0830582 32.7573713, -117.0831909 32.7573501, -117.0834196 32.7573169, -117.0835231 32.7573011, -117.083603 32.757225)"
49460465,,25,,49460465,tertiary,,0,,,260.883,25 mph,52nd Street,False,642868901,,,49224750,10.435319999999999,,,"LINESTRING (-117.083603 32.757225, -117.0836033 32.7570496, -117.0836105 32.7567706, -117.0836156 32.7560689, -117.083633 32.754879)"
49460465,,25,,49460465,primary,,0,,,101.725,25 mph,El Cajon Boulevard,True,"[436403123, 617118278]",US 80 Historic,,49115717,4.069,,,"LINESTRING (-117.083603 32.757225, -117.0834981 32.7572022, -117.0834402 32.7572096, -117.0832128 32.7572388, -117.0830298 32.7572622, -117.0825298 32.7573263)"
49460465,,25,,49460465,residential,,0,,,51.773999999999994,25 mph,52nd Street,False,642868902,,,4586122299,2.07096,,,"LINESTRING (-117.083603 32.757225, -117.0836092 32.757449, -117.0836157 32.7576905)"
49460465,,25,,49460465,primary,,0,,5,102.62100000000001,25 mph,El Cajon Boulevard,False,"[436403096, 436403097, 436403119]",US 80 Historic,,49460462,4.10484,,,"LINESTRING (-117.083603 32.757225, -117.0839057 32.7571824, -117.0840203 32.7571663, -117.0840673 32.7571597, -117.0841609 32.7571465, -117.0842 32.757141, -117.0842925 32.7571286, -117.0843918 32.7571153, -117.084686 32.757076)"
49460462,,25,,49460462,residential,,0,,,243.41099999999997,25 mph,51st Street,False,118890772,,,49224746,9.73644,,,"LINESTRING (-117.084686 32.757076, -117.0846886 32.7567177, -117.084702 32.754887)"
49460462,,25,,49460462,residential,,0,,,69.35600000000001,25 mph,51st Street,False,118890772,,,4586122301,2.7742400000000003,,,"LINESTRING (-117.084686 32.757076, -117.0846803 32.7575429, -117.0846784 32.7576997)"
49460462,,25,,49460462,primary,,0,,5,99.853,25 mph,El Cajon Boulevard,False,"[436403105, 436403090, 436403095]",US 80 Historic,,49079556,3.9941199999999997,,,"LINESTRING (-117.085739 32.756927, -117.0853629 32.7569807, -117.085235 32.756999, -117.0851479 32.7570112, -117.085024 32.7570295, -117.084898 32.7570462, -117.084686 32.757076)"
49460462,,25,,49460462,primary,,0,,5,102.62100000000001,25 mph,El Cajon Boulevard,False,"[436403096, 436403097, 436403119]",US 80 Historic,,49460465,4.10484,,,"LINESTRING (-117.083603 32.757225, -117.0839057 32.7571824, -117.0840203 32.7571663, -117.0840673 32.7571597, -117.0841609 32.7571465, -117.0842 32.757141, -117.0842925 32.7571286, -117.0843918 32.7571153, -117.084686 32.757076)"
49079556,,25,,49079556,primary,,0,,5,99.853,25 mph,El Cajon Boulevard,False,"[436403105, 436403090, 436403095]",US 80 Historic,,49460462,3.9941199999999997,,,"LINESTRING (-117.085739 32.756927, -117.0853629 32.7569807, -117.085235 32.756999, -117.0851479 32.7570112, -117.085024 32.7570295, -117.084898 32.7570462, -117.084686 32.757076)"
49079556,,25,,49079556,primary,,0,,5,102.62299999999999,25 mph,El Cajon Boulevard,False,"[436403089, 436403084, 436403116]",US 80 Historic,,49092171,4.10492,,,"LINESTRING (-117.085739 32.756927, -117.0859605 32.7568979, -117.0861749 32.7568697, -117.0862007 32.7568663, -117.0863067 32.7568524, -117.08634 32.756848, -117.0864516 32.756833, -117.0865089 32.7568253, -117.086823 32.756783)"
49079556,,25,,49079556,residential,,0,,,226.84799999999998,25 mph,Altadena Avenue,False,5958925,,,49079555,9.07392,,,"LINESTRING (-117.085739 32.756927, -117.0857413 32.7567233, -117.0857455 32.7563512, -117.0857476 32.756165, -117.085762 32.754887)"
