nid,access,base_speed,bridge,from,highway,junction,key,landuse,lanes,length,maxspeed,name,oneway,osmid,ref,service,to,weigth,tunnel,width,geometry
49152567,,25,,49152567,residential,,0,,,103.969,25 mph,Plaza Capote,False,5966666,,,49152561,4.15876,,,"LINESTRING (-117.016388 32.628593, -117.016373 32.628742, -117.016296 32.628952, -117.01619 32.629147, -117.015953 32.629436)"
49152567,,25,,49152567,residential,,0,,,67.063,25 mph,Camino Atajo,False,6013979,,,49525711,2.6825200000000002,,,"LINESTRING (-117.017067 32.62878, -117.016571 32.628624, -117.016388 32.628593)"
49152567,,25,,49152567,residential,,0,,,197.602,25 mph,Camino Atajo,False,6013979,,,49541374,7.90408,,,"LINESTRING (-117.014992 32.629723, -117.015442 32.628944, -117.015617 32.62878, -117.015938 32.628635, -117.016167 32.628593, -117.016388 32.628593)"
49541374,,25,,49541374,residential,,0,,,197.602,25 mph,Camino Atajo,False,6013979,,,49152567,7.90408,,,"LINESTRING (-117.014992 32.629723, -117.015442 32.628944, -117.015617 32.62878, -117.015938 32.628635, -117.016167 32.628593, -117.016388 32.628593)"
49541374,,35,,49541374,tertiary,,0,,,222.84900000000002,35 mph,East J Street,False,594557332,,,49368882,6.3671142860000005,,,"LINESTRING (-117.014992 32.629723, -117.015804 32.630158, -117.016527 32.630608, -117.0169984 32.6307895)"
49541374,,35,,49541374,tertiary,,0,,,91.345,35 mph,East J Street,False,594557332,,,49084437,2.609857143,,,"LINESTRING (-117.014069 32.629467, -117.014328 32.629513, -117.014763 32.629631, -117.014992 32.629723)"
49084437,,35,,49084437,tertiary,,0,,,79.21300000000001,35 mph,East J Street,False,594557332,,,49633513,2.263228571,,,"LINESTRING (-117.014069 32.629467, -117.013669 32.629409, -117.013229 32.62941)"
49084437,,35,,49084437,tertiary,,0,,,91.345,35 mph,East J Street,False,594557332,,,49541374,2.609857143,,,"LINESTRING (-117.014069 32.629467, -117.014328 32.629513, -117.014763 32.629631, -117.014992 32.629723)"
49084437,,25,,49084437,residential,,0,,,98.459,25 mph,Camino Miel,False,5959409,,,49084438,3.93836,,,"LINESTRING (-117.013924 32.630344, -117.014069 32.629467)"
49633513,,25,,49633513,residential,,0,,,75.836,25 mph,Paseo del Cerro,False,6041617,,,49179994,3.03344,,,"LINESTRING (-117.013153 32.628731, -117.013229 32.62941)"
49633513,,35,,49633513,tertiary,,0,,,70.267,35 mph,East J Street,False,594557332,,,49524786,2.007628571,,,"LINESTRING (-117.012497 32.629543, -117.012863 32.629456, -117.013229 32.62941)"
49633513,,35,,49633513,tertiary,,0,,,79.21300000000001,35 mph,East J Street,False,594557332,,,49084437,2.263228571,,,"LINESTRING (-117.014069 32.629467, -117.013669 32.629409, -117.013229 32.62941)"
49524786,,35,,49524786,tertiary,,0,,,70.267,35 mph,East J Street,False,594557332,,,49633513,2.007628571,,,"LINESTRING (-117.012497 32.629543, -117.012863 32.629456, -117.013229 32.62941)"
49524786,,35,,49524786,tertiary,,0,,,100.456,35 mph,East J Street,False,594557332,,,49521700,2.8701714289999996,,,"LINESTRING (-117.012497 32.629543, -117.011909 32.629753, -117.011497 32.629868)"
49524786,,25,,49524786,residential,,0,,,115.30799999999999,25 mph,Del Rio Court,False,6011369,,,49524789,4.6123199999999995,,,"LINESTRING (-117.012123 32.628555, -117.012497 32.629543)"
49521700,,25,,49521700,residential,,0,,,41.027,25 mph,Circulo Verde,False,6011020,,,49219278,1.6410799999999999,,,"LINESTRING (-117.011497 32.629868, -117.011612 32.630135, -117.011627 32.630219)"
49521700,,35,,49521700,tertiary,,0,,,77.51100000000001,35 mph,East J Street,False,594557332,,,49662392,2.2146,,,"LINESTRING (-117.010712 32.630089, -117.0107534 32.6300774, -117.0110286 32.6300001, -117.0111445 32.6299675, -117.011271 32.629932, -117.011497 32.629868)"
49521700,,35,,49521700,tertiary,,0,,,100.456,35 mph,East J Street,False,594557332,,,49524786,2.8701714289999996,,,"LINESTRING (-117.012497 32.629543, -117.011909 32.629753, -117.011497 32.629868)"
49662392,,35,,49662392,tertiary,,0,,,64.639,35 mph,East J Street,False,594557332,,,49548393,1.8468285709999999,,,"LINESTRING (-117.010712 32.630089, -117.0100535 32.6302633)"
49662392,,25,,49662392,residential,,0,,,41.744,25 mph,Zarza Corte,False,6050721,,,49711828,1.66976,,,"LINESTRING (-117.010712 32.630089, -117.010857 32.630444)"
49662392,,35,,49662392,tertiary,,0,,,77.51100000000001,35 mph,East J Street,False,594557332,,,49521700,2.2146,,,"LINESTRING (-117.010712 32.630089, -117.0107534 32.6300774, -117.0110286 32.6300001, -117.0111445 32.6299675, -117.011271 32.629932, -117.011497 32.629868)"
49548393,,25,,49548393,tertiary,,0,,,134.891,25 mph,East J Street,False,593690139,,,49482257,5.39564,,,"LINESTRING (-117.0100535 32.6302633, -117.009567 32.63039, -117.0092267 32.6304838, -117.008682 32.630634)"
49548393,,40,,49548393,residential,,0,,,135.201,40 mph,Paseo Ranchero,False,593690138,,,49521730,3.380025,,,"LINESTRING (-117.010468 32.631428, -117.0100535 32.6302633)"
49548393,,35,,49548393,tertiary,,0,,,64.639,35 mph,East J Street,False,594557332,,,49662392,1.8468285709999999,,,"LINESTRING (-117.010712 32.630089, -117.0100535 32.6302633)"
49548393,,25,,49548393,residential,,0,,,549.883,25 mph,Paseo Ranchero,False,6015211,,,49075954,21.99532,,,"LINESTRING (-117.0081284 32.6255937, -117.008461 32.62627, -117.008711 32.626825, -117.008715 32.626833, -117.0091075 32.627798, -117.0098122 32.6296538, -117.0100535 32.6302633)"
49075954,,25,,49075954,residential,,0,,,549.883,25 mph,Paseo Ranchero,False,6015211,,,49548393,21.99532,,,"LINESTRING (-117.0081284 32.6255937, -117.008461 32.62627, -117.008711 32.626825, -117.008715 32.626833, -117.0091075 32.627798, -117.0098122 32.6296538, -117.0100535 32.6302633)"
49075954,,25,,49075954,primary,,0,,4,1211.275,25 mph,Telegraph Canyon Road,True,"[436292356, 153795453]",,,49098971,48.451,,,"LINESTRING (-117.0081284 32.6255937, -117.0103618 32.6248197, -117.0118558 32.6242534, -117.0126227 32.6240862, -117.0139721 32.6238985, -117.0153931 32.6237325, -117.0171103 32.6235231, -117.017875 32.6234707, -117.0195267 32.6234517, -117.0196729 32.6234514, -117.0206585 32.6234494)"
49075954,,25,,49075954,primary,,0,,,18.21,25 mph,Heritage Road,True,436292333,,,1739492895,0.7284,,,"LINESTRING (-117.0081284 32.6255937, -117.0080747 32.6254363)"
1739492895,,25,,1739492895,primary,,0,,"['5', '6']",571.96,25 mph,Heritage Road,True,"[436292324, 436292333, 436292327]",,,670772485,22.8784,,,"LINESTRING (-117.0080747 32.6254363, -117.0080505 32.6253652, -117.0080015 32.6252214, -117.0077762 32.6247335, -117.0074007 32.6241009, -117.006993 32.6236401, -117.0051997 32.6217948, -117.0051259 32.6217189, -117.0046506 32.6212298)"
